gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02_3140740,complete,,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,1,Blue,top,Fudge,oe:player:f02f1c8275084050765b4b6414bdfda,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,K'Sante,Fiora,Zilean,Ryze,Sejuani,Kassadin,,,,,,1954,1,4,1,16,25,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7677,1.0133,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,2.0,0.0,28612.0,878.567,0.282381,853.0502,2191.4739,16.0,0.4913,1.0,0.0307,5.0,26.0,0.7984,14130,9868,303.0092,0.238766,12775.0,,,264.0,244.0,20.0,,,8.1064,3568.0,5144.0,79.0,3072.0,4409.0,80.0,496.0,735.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,6418.0,8082.0,138.0,4860.0,7599.0,137.0,1558.0,483.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8532.0,10443.0,176.0,7572.0,10956.0,188.0,960.0,-513.0,-12.0,2.0,0.0,1.0,1.0,0.0,1.0,11222.0,13963.0,216.0,9770.0,13836.0,222.0,1452.0,127.0,-6.0,4.0,8.0,1.0,2.0,2.0,4.0
ESPORTSTMNT02_3140740,complete,,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,2,Blue,jng,Blaber,oe:player:ed455f823b6586e9e3621dfb5aeb42e,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Wukong,Fiora,Zilean,Ryze,Sejuani,Kassadin,,,,,,1954,1,11,2,8,25,8,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7677,1.0133,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,20021.0,614.7697,0.197594,1084.8516,1528.6182,7.0,0.2149,10.0,0.3071,7.0,45.0,1.3818,14216,9954,305.6499,0.240847,11675.0,,,197.0,29.0,168.0,,,6.0491,3066.0,3453.0,56.0,2951.0,3175.0,65.0,115.0,278.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,4618.0,4988.0,85.0,4493.0,5638.0,104.0,125.0,-650.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,7029.0,7730.0,128.0,5835.0,7866.0,138.0,1194.0,-136.0,-10.0,1.0,1.0,0.0,0.0,0.0,0.0,9137.0,10732.0,142.0,7586.0,10987.0,163.0,1551.0,-255.0,-21.0,3.0,8.0,1.0,0.0,3.0,2.0
ESPORTSTMNT02_3140740,complete,,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,3,Blue,mid,Diplex,oe:player:1b20b8ba37a25e699096e74abba1664,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Akali,Fiora,Zilean,Ryze,Sejuani,Kassadin,,,,,,1954,1,6,2,9,25,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7677,1.0133,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,24879.0,763.9406,0.245539,579.3961,499.6827,15.0,0.4606,1.0,0.0307,9.0,27.0,0.8291,13467,9205,282.651,0.222724,12910.0,,,281.0,281.0,0.0,,,8.6285,3277.0,4701.0,93.0,3103.0,4675.0,84.0,174.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4969.0,7891.0,143.0,4730.0,7515.0,138.0,239.0,376.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6819.0,10769.0,192.0,6385.0,9862.0,178.0,434.0,907.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10032.0,14567.0,241.0,8862.0,14113.0,215.0,1170.0,454.0,26.0,3.0,5.0,1.0,1.0,0.0,2.0
ESPORTSTMNT02_3140740,complete,,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,4,Blue,bot,Berserker,oe:player:460ae5a7af8d68f7831b70307210ab3,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Ashe,Fiora,Zilean,Ryze,Sejuani,Kassadin,,,,,,1954,1,3,1,14,25,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7677,1.0133,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,11822.0,363.0092,0.116675,304.4831,162.8045,28.0,0.8598,12.0,0.3685,8.0,72.0,2.2108,12284,8022,246.3255,0.194101,10950.0,,,237.0,237.0,0.0,,,7.2774,2883.0,3058.0,72.0,3531.0,3527.0,81.0,-648.0,-469.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,4732.0,5086.0,126.0,5388.0,5789.0,138.0,-656.0,-703.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,6836.0,7717.0,172.0,6883.0,7652.0,173.0,-47.0,65.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,9601.0,11536.0,203.0,9464.0,10352.0,206.0,137.0,1184.0,-3.0,3.0,8.0,0.0,1.0,2.0,3.0
ESPORTSTMNT02_3140740,complete,,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,5,Blue,sup,Zven,oe:player:10fcffece0ac7be85f09c4b51a75762,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Heimerdinger,Fiora,Zilean,Ryze,Sejuani,Kassadin,,,,,,1954,1,1,2,13,25,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7677,1.0133,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,15990.0,490.9928,0.157811,377.9632,164.8004,39.0,1.1975,18.0,0.5527,8.0,110.0,3.3777,8542,4280,131.4227,0.103562,7850.0,,,42.0,42.0,0.0,,,1.2897,2378.0,2421.0,11.0,2470.0,2139.0,6.0,-92.0,282.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3452.0,3608.0,17.0,3468.0,3404.0,11.0,-16.0,204.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4811.0,4664.0,23.0,4471.0,4924.0,16.0,340.0,-260.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,6276.0,7150.0,29.0,5688.0,6826.0,18.0,588.0,324.0,11.0,1.0,6.0,1.0,0.0,2.0,3.0
ESPORTSTMNT02_3140740,complete,,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,6,Red,top,Tenacity,oe:player:5a727a99621f9e7f1d95f26fb6e5c52,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,Jax,Zeri,Sivir,Lucian,Elise,Maokai,,,,,,1954,0,3,5,4,8,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2456,1.0133,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,19152.0,588.086,0.288121,894.6571,924.9642,13.0,0.3992,2.0,0.0614,3.0,20.0,0.6141,13142,8880,272.6714,0.274486,11675.0,,,273.0,258.0,15.0,,,8.3828,3072.0,4409.0,80.0,3568.0,5144.0,79.0,-496.0,-735.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4860.0,7599.0,137.0,6418.0,8082.0,138.0,-1558.0,-483.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,7572.0,10956.0,188.0,8532.0,10443.0,176.0,-960.0,513.0,12.0,1.0,0.0,1.0,2.0,0.0,1.0,9770.0,13836.0,222.0,11222.0,13963.0,216.0,-1452.0,-127.0,6.0,2.0,2.0,4.0,4.0,8.0,1.0
ESPORTSTMNT02_3140740,complete,,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,7,Red,jng,Closer,oe:player:96da046ebab4cac9bcba2c9afd85999,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,Viego,Zeri,Sivir,Lucian,Elise,Maokai,,,,,,1954,0,0,5,5,8,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2456,1.0133,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,8547.0,262.4463,0.12858,1012.1085,1048.8025,9.0,0.2764,9.0,0.2764,11.0,40.0,1.2282,9215,4953,152.088,0.153104,8800.0,,,181.0,25.0,156.0,,,5.5578,2951.0,3175.0,65.0,3066.0,3453.0,56.0,-115.0,-278.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4493.0,5638.0,104.0,4618.0,4988.0,85.0,-125.0,650.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5835.0,7866.0,138.0,7029.0,7730.0,128.0,-1194.0,136.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,7586.0,10987.0,163.0,9137.0,10732.0,142.0,-1551.0,255.0,21.0,0.0,3.0,2.0,3.0,8.0,1.0
ESPORTSTMNT02_3140740,complete,,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,8,Red,mid,Bjergsen,oe:player:63ba5c5e5bb73ace706183b5e05a27e,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,Sylas,Zeri,Sivir,Lucian,Elise,Maokai,,,,,,1954,0,3,5,2,8,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2456,1.0133,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14263.0,437.9632,0.214572,979.2835,764.7083,7.0,0.2149,6.0,0.1842,4.0,26.0,0.7984,12078,7816,240.0,0.241598,11135.0,,,256.0,248.0,8.0,,,7.8608,3103.0,4675.0,84.0,3277.0,4701.0,93.0,-174.0,-26.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,4730.0,7515.0,138.0,4969.0,7891.0,143.0,-239.0,-376.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,6385.0,9862.0,178.0,6819.0,10769.0,192.0,-434.0,-907.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,8862.0,14113.0,215.0,10032.0,14567.0,241.0,-1170.0,-454.0,-26.0,1.0,0.0,2.0,3.0,5.0,1.0
ESPORTSTMNT02_3140740,complete,,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,9,Red,bot,Doublelift,oe:player:f25df399390d86b9a1e83216dae597b,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,Varus,Zeri,Sivir,Lucian,Elise,Maokai,,,,,,1954,0,2,5,2,8,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2456,1.0133,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,15387.0,472.477,0.231481,444.6878,245.4657,14.0,0.4299,4.0,0.1228,6.0,27.0,0.8291,12230,7968,244.6673,0.246297,10800.0,,,251.0,248.0,3.0,,,7.7073,3531.0,3527.0,81.0,2883.0,3058.0,72.0,648.0,469.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5388.0,5789.0,138.0,4732.0,5086.0,126.0,656.0,703.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6883.0,7652.0,173.0,6836.0,7717.0,172.0,47.0,-65.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9464.0,10352.0,206.0,9601.0,11536.0,203.0,-137.0,-1184.0,3.0,1.0,2.0,3.0,3.0,8.0,0.0
ESPORTSTMNT02_3140740,complete,,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,10,Red,sup,Busio,oe:player:3e722c8ede909c83af9342c41805a16,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,Azir,Zeri,Sivir,Lucian,Elise,Maokai,,,,,,1954,0,0,5,3,8,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2456,1.0133,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,9123.0,280.1331,0.137246,582.3746,228.4852,49.0,1.5046,16.0,0.4913,10.0,90.0,2.7636,6996,2734,83.9509,0.0845148,6520.0,,,23.0,23.0,0.0,,,0.7062,2470.0,2139.0,6.0,2378.0,2421.0,11.0,92.0,-282.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,3468.0,3404.0,11.0,3452.0,3608.0,17.0,16.0,-204.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4471.0,4924.0,16.0,4811.0,4664.0,23.0,-340.0,260.0,-7.0,0.0,0.0,1.0,0.0,1.0,0.0,5688.0,6826.0,18.0,6276.0,7150.0,29.0,-588.0,-324.0,-11.0,0.0,2.0,3.0,1.0,6.0,1.0
