gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,1,Blue,top,PvPStejos,oe:player:7f628897d2f6dc2703a52586c671574,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,Gangplank,Nidalee,Kha'Zix,Ryze,Jayce,Janna,,,,,,1884,1,3,3,2,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3503,0.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16384.0,521.7834,0.247605,599.0446,454.3312,23.0,0.7325,5.0,0.1592,1.0,44.0,1.4013,15139.0,11020.0,350.9554,0.262612,14218.0,,,299.0,283.0,16.0,8.0,8.0,9.5223,4133.0,4428.0,77.0,2955.0,4227.0,71.0,1178.0,201.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,6489.0,6949.0,127.0,4599.0,6300.0,105.0,1890.0,649.0,22.0,1.0,1.0,1.0,1.0,0.0,2.0,8775.0,9462.0,177.0,6357.0,8903.0,159.0,2418.0,559.0,18.0,1.0,1.0,1.0,1.0,0.0,2.0,11906.0,12530.0,241.0,8181.0,11560.0,212.0,3725.0,970.0,29.0,2.0,2.0,1.0,1.0,0.0,3.0
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,2,Blue,jng,Diamondprox,oe:player:1c7db660fc268b1d2747939129d6101,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,Sejuani,Nidalee,Kha'Zix,Ryze,Jayce,Janna,,,,,,1884,1,1,2,7,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3503,0.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6289.0,200.2866,0.0950431,1006.5924,1038.8854,33.0,1.051,11.0,0.3503,12.0,81.0,2.5796,10962.0,6843.0,217.9299,0.163072,10625.0,,,184.0,40.0,144.0,93.0,3.0,5.8599,3513.0,3661.0,70.0,2969.0,3420.0,55.0,544.0,241.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,5439.0,5908.0,96.0,4417.0,5712.0,82.0,1022.0,196.0,14.0,1.0,2.0,0.0,0.0,2.0,1.0,7086.0,7884.0,130.0,5605.0,7784.0,104.0,1481.0,100.0,26.0,1.0,3.0,0.0,0.0,2.0,1.0,9132.0,9980.0,162.0,6507.0,8625.0,113.0,2625.0,1355.0,49.0,1.0,6.0,0.0,0.0,2.0,2.0
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,3,Blue,mid,Kira,oe:player:24abb8f1ed61411f16f17091cf3683d,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,Azir,Nidalee,Kha'Zix,Ryze,Jayce,Janna,,,,,,1884,1,3,2,5,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3503,0.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19668.0,626.3694,0.297234,343.2166,207.8025,18.0,0.5732,9.0,0.2866,7.0,56.0,1.7834,14374.0,10255.0,326.5924,0.244382,12275.0,,,341.0,304.0,37.0,16.0,13.0,10.8599,3320.0,4966.0,84.0,3350.0,4993.0,91.0,-30.0,-27.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,5904.0,8201.0,152.0,5006.0,7731.0,137.0,898.0,470.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,8391.0,11173.0,217.0,6908.0,10550.0,194.0,1483.0,623.0,23.0,1.0,1.0,0.0,0.0,1.0,0.0,11782.0,14688.0,289.0,8464.0,12807.0,237.0,3318.0,1881.0,52.0,3.0,3.0,0.0,0.0,1.0,0.0
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,4,Blue,bot,Blasting,oe:player:1223ef41979377b9c271fffb074e763,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,Ezreal,Nidalee,Kha'Zix,Ryze,Jayce,Janna,,,,,,1884,1,4,0,3,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3503,0.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,19131.0,609.2675,0.289119,261.0828,175.1911,14.0,0.4459,11.0,0.3503,1.0,31.0,0.9873,13919.0,9800.0,312.1019,0.233539,12575.0,,,283.0,275.0,8.0,8.0,0.0,9.0127,4152.0,3309.0,88.0,3280.0,2612.0,66.0,872.0,697.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,6164.0,5497.0,144.0,5795.0,4950.0,123.0,369.0,547.0,21.0,1.0,0.0,0.0,2.0,0.0,0.0,8693.0,8196.0,206.0,7759.0,7055.0,182.0,934.0,1141.0,24.0,2.0,0.0,0.0,2.0,0.0,0.0,11479.0,10508.0,252.0,9445.0,8794.0,230.0,2034.0,1714.0,22.0,3.0,2.0,0.0,2.0,0.0,1.0
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,5,Blue,sup,Edward,oe:player:243f63354f4c1cc25d50f6269b84436,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,Morgana,Nidalee,Kha'Zix,Ryze,Jayce,Janna,,,,,,1884,1,0,4,9,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3503,0.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4698.0,149.6178,0.0709989,347.5478,214.2038,40.0,1.2739,15.0,0.4777,11.0,83.0,2.6433,8164.0,4045.0,128.8217,0.0963949,7775.0,,,22.0,22.0,0.0,0.0,0.0,0.7006,2441.0,2610.0,3.0,1942.0,2531.0,1.0,499.0,79.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,3543.0,4131.0,5.0,2932.0,4405.0,5.0,611.0,-274.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,4729.0,5375.0,10.0,3763.0,5466.0,7.0,966.0,-91.0,3.0,0.0,4.0,2.0,0.0,2.0,2.0,6478.0,7387.0,15.0,4765.0,6931.0,10.0,1713.0,456.0,5.0,0.0,8.0,2.0,0.0,2.0,3.0
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,6,Red,top,Smurf,oe:player:83bb08a967d0acd1391834744adfde9,M19,oe:team:c7ad88feac64b5b6cca8f234b392862,Ornn,Camille,Zoe,Nunu & Willump,Braum,Tahm Kench,,,,,,1884,0,5,3,3,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3503,0.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13411.0,427.1019,0.273081,655.828,1008.6943,12.0,0.3822,3.0,0.0955,2.0,20.0,0.6369,11458.0,7339.0,233.7261,0.251965,10200.0,,,258.0,258.0,0.0,0.0,0.0,8.2166,2955.0,4227.0,71.0,4133.0,4428.0,77.0,-1178.0,-201.0,-6.0,0.0,0.0,1.0,1.0,0.0,0.0,4599.0,6300.0,105.0,6489.0,6949.0,127.0,-1890.0,-649.0,-22.0,1.0,0.0,2.0,1.0,1.0,1.0,6357.0,8903.0,159.0,8775.0,9462.0,177.0,-2418.0,-559.0,-18.0,1.0,0.0,2.0,1.0,1.0,1.0,8181.0,11560.0,212.0,11906.0,12530.0,241.0,-3725.0,-970.0,-29.0,1.0,0.0,3.0,2.0,2.0,1.0
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,7,Red,jng,Kreox,oe:player:4d3c41bcc3aa6f21c8776fc1438fad5,M19,oe:team:c7ad88feac64b5b6cca8f234b392862,Jarvan IV,Camille,Zoe,Nunu & Willump,Braum,Tahm Kench,,,,,,1884,0,0,3,7,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3503,0.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5162.0,164.3949,0.105111,1074.0446,671.1465,57.0,1.8153,12.0,0.3822,10.0,85.0,2.707,8240.0,4121.0,131.242,0.141484,7950.0,,,140.0,27.0,113.0,98.0,0.0,4.4586,2969.0,3420.0,55.0,3513.0,3661.0,70.0,-544.0,-241.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,4417.0,5712.0,82.0,5439.0,5908.0,96.0,-1022.0,-196.0,-14.0,0.0,2.0,1.0,1.0,2.0,0.0,5605.0,7784.0,104.0,7086.0,7884.0,130.0,-1481.0,-100.0,-26.0,0.0,2.0,1.0,1.0,3.0,0.0,6507.0,8625.0,113.0,9132.0,9980.0,162.0,-2625.0,-1355.0,-49.0,0.0,2.0,2.0,1.0,6.0,0.0
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,8,Red,mid,Nomanz,oe:player:3587454d4910f0665e2fda36ad2e91c,M19,oe:team:c7ad88feac64b5b6cca8f234b392862,Veigar,Camille,Zoe,Nunu & Willump,Braum,Tahm Kench,,,,,,1884,0,2,0,2,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3503,0.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10938.0,348.3439,0.222724,337.9299,198.7261,12.0,0.3822,3.0,0.0955,2.0,23.0,0.7325,10992.0,6873.0,218.8854,0.235966,10300.0,,,281.0,267.0,14.0,14.0,0.0,8.949,3350.0,4993.0,91.0,3320.0,4966.0,84.0,30.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5006.0,7731.0,137.0,5904.0,8201.0,152.0,-898.0,-470.0,-15.0,0.0,1.0,0.0,1.0,0.0,0.0,6908.0,10550.0,194.0,8391.0,11173.0,217.0,-1483.0,-623.0,-23.0,0.0,1.0,0.0,1.0,1.0,0.0,8464.0,12807.0,237.0,11782.0,14688.0,289.0,-3318.0,-1881.0,-52.0,0.0,1.0,0.0,3.0,3.0,0.0
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,9,Red,bot,VincentVega,oe:player:08399515849f2951f6e8731fd6f5c73,M19,oe:team:c7ad88feac64b5b6cca8f234b392862,Xayah,Camille,Zoe,Nunu & Willump,Braum,Tahm Kench,,,,,,1884,0,4,1,3,11,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3503,0.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,16251.0,517.5478,0.33091,352.6115,170.0955,11.0,0.3503,8.0,0.2548,2.0,27.0,0.8599,12453.0,8334.0,265.414,0.286126,12150.0,,,289.0,278.0,11.0,6.0,0.0,9.2038,3280.0,2612.0,66.0,4152.0,3309.0,88.0,-872.0,-697.0,-22.0,1.0,0.0,0.0,1.0,0.0,0.0,5795.0,4950.0,123.0,6164.0,5497.0,144.0,-369.0,-547.0,-21.0,2.0,0.0,0.0,1.0,0.0,0.0,7759.0,7055.0,182.0,8693.0,8196.0,206.0,-934.0,-1141.0,-24.0,2.0,0.0,0.0,2.0,0.0,0.0,9445.0,8794.0,230.0,11479.0,10508.0,252.0,-2034.0,-1714.0,-22.0,2.0,0.0,1.0,3.0,2.0,0.0
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,10,Red,sup,SaNTaS,oe:player:92ffbe9070b1c1b1f6717158e1d35ff,M19,oe:team:c7ad88feac64b5b6cca8f234b392862,Rakan,Camille,Zoe,Nunu & Willump,Braum,Tahm Kench,,,,,,1884,0,0,4,9,11,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3503,0.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3348.0,106.6242,0.0681735,364.4586,347.9299,39.0,1.242,15.0,0.4777,13.0,64.0,2.0382,6579.0,2460.0,78.3439,0.0844585,6225.0,,,21.0,21.0,0.0,0.0,0.0,0.6688,1942.0,2531.0,1.0,2441.0,2610.0,3.0,-499.0,-79.0,-2.0,0.0,1.0,1.0,0.0,1.0,1.0,2932.0,4405.0,5.0,3543.0,4131.0,5.0,-611.0,274.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,3763.0,5466.0,7.0,4729.0,5375.0,10.0,-966.0,91.0,-3.0,0.0,2.0,2.0,0.0,4.0,2.0,4765.0,6931.0,10.0,6478.0,7387.0,15.0,-1713.0,-456.0,-5.0,0.0,2.0,3.0,0.0,8.0,2.0
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,100,Blue,team,,,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,,Nidalee,Kha'Zix,Ryze,Jayce,Janna,Gangplank,Sejuani,Azir,Ezreal,Morgana,1884,1,11,11,26,11,11,0.0,0.0,0.0,0.0,0.0,,,,0.3503,0.7006,0.0,2.0,1.0,,,0.0,1.0,0.0,1.0,,,,0.0,0.0,1.0,1.0,0.0,,,1.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,,,2.0,0.0,66170.0,2107.3248,,2557.4841,2090.414,128.0,4.0764,51.0,1.6242,32.0,295.0,9.3949,62558.0,41963.0,1336.4013,,57468.0,0.204098,4.81,,924.0,205.0,125.0,24.0,35.9554,17559.0,18974.0,322.0,14496.0,17783.0,284.0,3063.0,1191.0,38.0,2.0,2.0,1.0,1.0,1.0,2.0,27539.0,30686.0,524.0,22749.0,29098.0,452.0,4790.0,1588.0,72.0,4.0,6.0,3.0,3.0,5.0,4.0,37674.0,42090.0,740.0,30392.0,39758.0,646.0,7282.0,2332.0,94.0,5.0,9.0,3.0,3.0,5.0,5.0,50777.0,55093.0,959.0,37362.0,48717.0,802.0,13415.0,6376.0,157.0,9.0,21.0,3.0,3.0,5.0,9.0
ESPORTSTMNT02/510211,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510211?gameHash=4fbe02bd9116a612,LCL,2018,Spring,0,2018-02-10 11:56:30,1,8.02,200,Red,team,,,M19,oe:team:c7ad88feac64b5b6cca8f234b392862,,Camille,Zoe,Nunu & Willump,Braum,Tahm Kench,Jarvan IV,Xayah,Veigar,Rakan,Ornn,1884,0,11,11,24,11,11,0.0,0.0,0.0,0.0,1.0,,,,0.3503,0.7006,1.0,1.0,2.0,,,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,,,0.0,2.0,49110.0,1564.0127,,2784.8726,2396.5924,131.0,4.172,41.0,1.3057,29.0,219.0,6.9745,49722.0,29127.0,927.6115,,46825.0,-0.204098,-4.81,,851.0,138.0,118.0,0.0,31.4968,14496.0,17783.0,284.0,17559.0,18974.0,322.0,-3063.0,-1191.0,-38.0,1.0,1.0,2.0,2.0,2.0,1.0,22749.0,29098.0,452.0,27539.0,30686.0,524.0,-4790.0,-1588.0,-72.0,3.0,5.0,4.0,4.0,6.0,3.0,30392.0,39758.0,646.0,37674.0,42090.0,740.0,-7282.0,-2332.0,-94.0,3.0,5.0,5.0,5.0,9.0,3.0,37362.0,48717.0,802.0,50777.0,55093.0,959.0,-13415.0,-6376.0,-157.0,3.0,5.0,9.0,9.0,21.0,3.0
ESPORTSTMNT02/510244,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510244?gameHash=05050ad79f9b9fc7,LCL,2018,Spring,0,2018-02-10 14:50:14,1,8.02,1,Blue,top,Dark Solece,oe:player:e3f81c62b7ba47d3cee765a44e95603,Vaevictis eSports,oe:team:d80359db3f21194a58b02a3c7362695,Urgot,Kalista,Gangplank,Zoe,Tristana,Braum,,,,,,1923,0,1,1,1,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6867.0,214.259,0.1432,442.1529,852.9173,14.0,0.4368,6.0,0.1872,1.0,26.0,0.8112,10741.0,6542.0,204.1186,0.231614,10175.0,,,257.0,239.0,18.0,12.0,0.0,8.0187,3046.0,4173.0,79.0,3098.0,4507.0,79.0,-52.0,-334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.0,7172.0,134.0,5033.0,7119.0,116.0,116.0,53.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,6982.0,9478.0,178.0,6556.0,9290.0,157.0,426.0,188.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,8447.0,11636.0,213.0,8366.0,12239.0,187.0,81.0,-603.0,26.0,0.0,0.0,0.0,0.0,5.0,0.0
ESPORTSTMNT02/510244,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510244?gameHash=05050ad79f9b9fc7,LCL,2018,Spring,0,2018-02-10 14:50:14,1,8.02,2,Blue,jng,Ippon,oe:player:b3baf06263c368090dc022072a5be3b,Vaevictis eSports,oe:team:d80359db3f21194a58b02a3c7362695,Zac,Kalista,Gangplank,Zoe,Tristana,Braum,,,,,,1923,0,1,2,2,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5012.0,156.3807,0.104517,945.7098,708.4555,31.0,0.9672,15.0,0.468,11.0,80.0,2.4961,8577.0,4378.0,136.5991,0.155005,7875.0,,,148.0,27.0,121.0,89.0,0.0,4.6178,2918.0,3009.0,54.0,2864.0,3371.0,53.0,54.0,-362.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4802.0,5645.0,89.0,4575.0,5481.0,87.0,227.0,164.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,6081.0,7194.0,113.0,5720.0,7072.0,109.0,361.0,122.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,6972.0,7726.0,124.0,7581.0,9156.0,128.0,-609.0,-1430.0,-4.0,1.0,0.0,2.0,1.0,3.0,0.0
ESPORTSTMNT02/510244,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510244?gameHash=05050ad79f9b9fc7,LCL,2018,Spring,0,2018-02-10 14:50:14,1,8.02,3,Blue,mid,Lukezy,oe:player:cdcb26731b01eb862d6e0ba8fec6deb,Vaevictis eSports,oe:team:d80359db3f21194a58b02a3c7362695,Azir,Kalista,Gangplank,Zoe,Tristana,Braum,,,,,,1923,0,2,3,1,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21287.0,664.181,0.443905,393.3229,312.6989,14.0,0.4368,7.0,0.2184,6.0,32.0,0.9984,11925.0,7726.0,241.0608,0.273529,11115.0,,,307.0,277.0,30.0,26.0,0.0,9.5788,3503.0,5042.0,98.0,3085.0,4882.0,77.0,418.0,160.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5276.0,7477.0,149.0,4833.0,7606.0,111.0,443.0,-129.0,38.0,0.0,0.0,1.0,1.0,0.0,0.0,7417.0,10203.0,208.0,6498.0,9917.0,161.0,919.0,286.0,47.0,0.0,0.0,1.0,1.0,0.0,0.0,9187.0,12391.0,258.0,9153.0,13030.0,203.0,34.0,-639.0,55.0,0.0,0.0,1.0,3.0,1.0,0.0
ESPORTSTMNT02/510244,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510244?gameHash=05050ad79f9b9fc7,LCL,2018,Spring,0,2018-02-10 14:50:14,1,8.02,4,Blue,bot,LeX,oe:player:c3370c331a0954e90db4181dc563dd4,Vaevictis eSports,oe:team:d80359db3f21194a58b02a3c7362695,Varus,Kalista,Gangplank,Zoe,Tristana,Braum,,,,,,1923,0,1,1,2,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10867.0,339.064,0.226613,318.6583,294.7894,11.0,0.3432,13.0,0.4056,2.0,39.0,1.2168,10852.0,6653.0,207.5819,0.235543,10900.0,,,279.0,267.0,12.0,9.0,0.0,8.7051,3281.0,2944.0,89.0,3681.0,3309.0,97.0,-400.0,-365.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5056.0,4660.0,141.0,6122.0,5006.0,141.0,-1066.0,-346.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6948.0,6503.0,193.0,7987.0,7223.0,195.0,-1039.0,-720.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,8608.0,8319.0,237.0,10053.0,9669.0,234.0,-1445.0,-1350.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0
ESPORTSTMNT02/510244,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510244?gameHash=05050ad79f9b9fc7,LCL,2018,Spring,0,2018-02-10 14:50:14,1,8.02,5,Blue,sup,Dimonko,oe:player:fd2b2449dcb232ae3130a511350b6e9,Vaevictis eSports,oe:team:d80359db3f21194a58b02a3c7362695,Tahm Kench,Kalista,Gangplank,Zoe,Tristana,Braum,,,,,,1923,0,0,3,5,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.156,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3921.0,122.3401,0.0817659,577.6911,620.0312,38.0,1.1856,8.0,0.2496,7.0,72.0,2.2465,7145.0,2946.0,91.9189,0.10431,6775.0,,,67.0,67.0,0.0,0.0,0.0,2.0905,1969.0,2915.0,15.0,1898.0,2808.0,1.0,71.0,107.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3147.0,4260.0,27.0,2996.0,4412.0,2.0,151.0,-152.0,25.0,0.0,1.0,1.0,0.0,1.0,1.0,4304.0,5465.0,40.0,3985.0,5479.0,6.0,319.0,-14.0,34.0,0.0,1.0,1.0,0.0,1.0,1.0,5239.0,6174.0,48.0,5404.0,7484.0,8.0,-165.0,-1310.0,40.0,0.0,1.0,2.0,0.0,4.0,1.0
ESPORTSTMNT02/510244,complete,https://matchhistory.ru.leagueoflegends.com/ru/#match-details/ESPORTSTMNT02/510244?gameHash=05050ad79f9b9fc7,LCL,2018,Spring,0,2018-02-10 14:50:14,1,8.02,6,Red,top,NoNholy,oe:player:e56057e00946fc9dd59e49ac9adbb21,Vega Squadron,oe:team:95fa2bbc5eb242e7c3243c3467e32f3,Camille,Jarvan IV,Nunu & Willump,Kha'Zix,Kled,Jax,,,,,,1923,1,1,1,7,10,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.312,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11594.0,361.7473,0.178136,415.2262,388.83,17.0,0.5304,6.0,0.1872,6.0,40.0,1.248,12282.0,8083.0,252.1997,0.225221,10233.0,,,249.0,245.0,4.0,0.0,4.0,7.7691,3098.0,4507.0,79.0,3046.0,4173.0,79.0,52.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5033.0,7119.0,116.0,5149.0,7172.0,134.0,-116.0,-53.0,-18.0,0.0,2.0,0.0,0.0,0.0,0.0,6556.0,9290.0,157.0,6982.0,9478.0,178.0,-426.0,-188.0,-21.0,0.0,2.0,0.0,0.0,0.0,0.0,8366.0,12239.0,187.0,8447.0,11636.0,213.0,-81.0,603.0,-26.0,0.0,5.0,0.0,0.0,0.0,0.0
