gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,1,Blue,top,BOSS,oe:player:2c8efc1ed4a1fd3a51dbd7e29d8ea6c,Unicorns of Love.CIS,oe:team:e84133caa1e561518201cc7d33f14ed,Jax,Rell,Twisted Fate,Olaf,Akali,Taliyah,,,,,,2127,1,4,2,6,17,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795,0.8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9302.0,262.3977,0.133998,518.6742,399.6333,16.0,0.4513,5.0,0.141,4.0,32.0,0.9027,13155,8540.0,240.9027,0.204394,10633.0,,,228.0,203.0,25.0,3.0,0.0,6.4316,2907.0,3906.0,67.0,3022.0,4125.0,71.0,-115.0,-219.0,-4.0,0.0,1.0,1.0,0.0,2.0,0.0,4292.0,5876.0,104.0,4631.0,6434.0,115.0,-339.0,-558.0,-11.0,0.0,2.0,1.0,0.0,2.0,0.0,6028.0,8061.0,147.0,6279.0,8457.0,149.0,-251.0,-396.0,-2.0,0.0,2.0,2.0,1.0,3.0,0.0,8055.0,10102.0,163.0,7904.0,10040.0,173.0,151.0,62.0,-10.0,1.0,3.0,2.0,1.0,3.0,0.0
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,2,Blue,jng,AHaHaCiK,oe:player:63d4c2d98c6654867a62dbaa41d3379,Unicorns of Love.CIS,oe:team:e84133caa1e561518201cc7d33f14ed,Udyr,Rell,Twisted Fate,Olaf,Akali,Taliyah,,,,,,2127,1,5,4,8,17,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4795,0.8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7279.0,205.3315,0.104856,865.1904,1063.921,9.0,0.2539,14.0,0.3949,10.0,50.0,1.4104,12327,7712.0,217.5458,0.184578,11350.0,,,175.0,33.0,142.0,109.0,3.0,4.9365,3972.0,3794.0,71.0,2900.0,2847.0,58.0,1072.0,947.0,13.0,2.0,0.0,0.0,0.0,1.0,2.0,5396.0,5369.0,99.0,4412.0,4734.0,93.0,984.0,635.0,6.0,2.0,0.0,1.0,0.0,2.0,2.0,6984.0,7169.0,121.0,6279.0,7474.0,131.0,705.0,-305.0,-10.0,3.0,0.0,2.0,1.0,4.0,2.0,9021.0,9096.0,140.0,7271.0,8174.0,142.0,1750.0,922.0,-2.0,4.0,1.0,2.0,1.0,4.0,4.0
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,3,Blue,mid,Nomanz,oe:player:3587454d4910f0665e2fda36ad2e91c,Unicorns of Love.CIS,oe:team:e84133caa1e561518201cc7d33f14ed,Azir,Rell,Twisted Fate,Olaf,Akali,Taliyah,,,,,,2127,1,8,3,7,17,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795,0.8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30822.0,869.4499,0.443999,493.7377,283.5261,16.0,0.4513,14.0,0.3949,4.0,67.0,1.89,16929,12314.0,347.3625,0.294717,15550.0,,,323.0,275.0,48.0,28.0,8.0,9.1114,3196.0,4462.0,84.0,3550.0,4452.0,86.0,-354.0,10.0,-2.0,0.0,1.0,1.0,1.0,1.0,0.0,5219.0,6869.0,121.0,5333.0,6966.0,136.0,-114.0,-97.0,-15.0,1.0,1.0,1.0,1.0,2.0,0.0,6743.0,8780.0,154.0,7894.0,10506.0,198.0,-1151.0,-1726.0,-44.0,1.0,2.0,3.0,2.0,4.0,1.0,9936.0,12339.0,200.0,9807.0,13176.0,252.0,129.0,-837.0,-52.0,2.0,4.0,3.0,2.0,4.0,2.0
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,4,Blue,bot,Frappii,oe:player:02689211449c0d5b67ad0ecc83b8a89,Unicorns of Love.CIS,oe:team:e84133caa1e561518201cc7d33f14ed,Aphelios,Rell,Twisted Fate,Olaf,Akali,Taliyah,,,,,,2127,1,0,0,9,17,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795,0.8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,17917.0,505.4161,0.258099,267.9831,236.6996,11.0,0.3103,6.0,0.1693,3.0,45.0,1.2694,14118,9503.0,268.0677,0.227441,12875.0,,,320.0,275.0,45.0,37.0,4.0,9.0268,3080.0,3599.0,78.0,3541.0,3314.0,69.0,-461.0,285.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,5037.0,5737.0,130.0,5911.0,5696.0,124.0,-874.0,41.0,6.0,0.0,1.0,0.0,3.0,1.0,1.0,7457.0,7838.0,189.0,8141.0,8403.0,173.0,-684.0,-565.0,16.0,0.0,1.0,0.0,4.0,2.0,1.0,9871.0,10701.0,234.0,10085.0,10296.0,220.0,-214.0,405.0,14.0,0.0,3.0,0.0,4.0,2.0,1.0
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,5,Blue,sup,SaNTaS,oe:player:92ffbe9070b1c1b1f6717158e1d35ff,Unicorns of Love.CIS,oe:team:e84133caa1e561518201cc7d33f14ed,Thresh,Rell,Twisted Fate,Olaf,Akali,Taliyah,,,,,,2127,1,0,3,11,17,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795,0.8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4099.0,115.6276,0.0590472,375.4584,394.1608,51.0,1.4386,15.0,0.4231,18.0,91.0,2.567,8328,3713.0,104.7391,0.0888703,7650.0,,,50.0,50.0,0.0,0.0,0.0,1.4104,2279.0,2215.0,20.0,2185.0,2567.0,15.0,94.0,-352.0,5.0,0.0,1.0,1.0,0.0,3.0,0.0,3519.0,3956.0,31.0,3152.0,3685.0,21.0,367.0,271.0,10.0,0.0,2.0,1.0,0.0,4.0,0.0,4438.0,5653.0,37.0,4239.0,5764.0,24.0,199.0,-111.0,13.0,0.0,2.0,1.0,0.0,8.0,0.0,5992.0,8252.0,40.0,5333.0,6715.0,28.0,659.0,1537.0,12.0,0.0,5.0,1.0,0.0,8.0,0.0
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,6,Red,top,Dreampull,oe:player:4b54bd2134c923b7b6a9bab64ef00cd,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,Camille,Xayah,Lillia,Renekton,Gnar,Orianna,,,,,,2127,0,1,2,5,12,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3385,0.8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7795.0,219.8872,0.135594,606.9394,503.8928,13.0,0.3667,1.0,0.0282,1.0,27.0,0.7616,11654,7039.0,198.5614,0.195523,11758.0,,,229.0,221.0,8.0,4.0,0.0,6.4598,3022.0,4125.0,71.0,2907.0,3906.0,67.0,115.0,219.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,4631.0,6434.0,115.0,4292.0,5876.0,104.0,339.0,558.0,11.0,0.0,2.0,0.0,0.0,2.0,1.0,6279.0,8457.0,149.0,6028.0,8061.0,147.0,251.0,396.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,7904.0,10040.0,173.0,8055.0,10102.0,163.0,-151.0,-62.0,10.0,1.0,3.0,0.0,1.0,3.0,2.0
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,7,Red,jng,PvPStejos,oe:player:7f628897d2f6dc2703a52586c671574,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,Nidalee,Xayah,Lillia,Renekton,Gnar,Orianna,,,,,,2127,0,2,7,7,12,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3385,0.8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7653.0,215.8815,0.133123,870.0423,389.591,8.0,0.2257,28.0,0.7898,10.0,70.0,1.9746,9893,5278.0,148.8858,0.146609,9025.0,,,164.0,30.0,134.0,110.0,4.0,4.6262,2900.0,2847.0,58.0,3972.0,3794.0,71.0,-1072.0,-947.0,-13.0,0.0,1.0,2.0,2.0,0.0,0.0,4412.0,4734.0,93.0,5396.0,5369.0,99.0,-984.0,-635.0,-6.0,0.0,2.0,2.0,2.0,0.0,1.0,6279.0,7474.0,131.0,6984.0,7169.0,121.0,-705.0,305.0,10.0,1.0,4.0,2.0,3.0,0.0,2.0,7271.0,8174.0,142.0,9021.0,9096.0,140.0,-1750.0,-922.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,8,Red,mid,Phlaty,oe:player:01691a35fd830394e9b5565308805d9,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,Ryze,Xayah,Lillia,Renekton,Gnar,Orianna,,,,,,2127,0,3,4,7,12,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3385,0.8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19728.0,556.5021,0.343167,519.3794,255.1199,14.0,0.3949,4.0,0.1128,8.0,27.0,0.7616,14599,9984.0,281.6361,0.277322,14550.0,,,346.0,299.0,47.0,37.0,0.0,9.7602,3550.0,4452.0,86.0,3196.0,4462.0,84.0,354.0,-10.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,5333.0,6966.0,136.0,5219.0,6869.0,121.0,114.0,97.0,15.0,1.0,2.0,0.0,1.0,1.0,1.0,7894.0,10506.0,198.0,6743.0,8780.0,154.0,1151.0,1726.0,44.0,2.0,4.0,1.0,1.0,2.0,3.0,9807.0,13176.0,252.0,9936.0,12339.0,200.0,-129.0,837.0,52.0,2.0,4.0,2.0,2.0,4.0,3.0
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,9,Red,bot,Shiganari,oe:player:90704735ca9fc01f2244f23f6e5d635,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,Kai'Sa,Xayah,Lillia,Renekton,Gnar,Orianna,,,,,,2127,0,6,2,3,12,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3385,0.8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,17261.0,486.9111,0.300254,380.0846,224.5698,11.0,0.3103,11.0,0.3103,3.0,50.0,1.4104,15262,10647.0,300.3385,0.295738,14075.0,,,325.0,290.0,35.0,29.0,0.0,9.1678,3541.0,3314.0,69.0,3080.0,3599.0,78.0,461.0,-285.0,-9.0,2.0,1.0,0.0,0.0,0.0,0.0,5911.0,5696.0,124.0,5037.0,5737.0,130.0,874.0,-41.0,-6.0,3.0,1.0,1.0,0.0,1.0,0.0,8141.0,8403.0,173.0,7457.0,7838.0,189.0,684.0,565.0,-16.0,4.0,2.0,1.0,0.0,1.0,0.0,10085.0,10296.0,220.0,9871.0,10701.0,234.0,214.0,-405.0,-14.0,4.0,2.0,1.0,0.0,3.0,0.0
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,10,Red,sup,Lekcyc,oe:player:74f3f60a44ee916ecc257a5381be756,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,Alistar,Xayah,Lillia,Renekton,Gnar,Orianna,,,,,,2127,0,0,2,11,12,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3385,0.8181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5051.0,142.4824,0.0878618,507.8138,879.4922,63.0,1.7772,9.0,0.2539,25.0,91.0,2.567,7668,3053.0,86.1213,0.0848083,7025.0,,,35.0,35.0,0.0,0.0,0.0,0.9873,2185.0,2567.0,15.0,2279.0,2215.0,20.0,-94.0,352.0,-5.0,0.0,3.0,0.0,0.0,1.0,1.0,3152.0,3685.0,21.0,3519.0,3956.0,31.0,-367.0,-271.0,-10.0,0.0,4.0,0.0,0.0,2.0,1.0,4239.0,5764.0,24.0,4438.0,5653.0,37.0,-199.0,111.0,-13.0,0.0,8.0,0.0,0.0,2.0,1.0,5333.0,6715.0,28.0,5992.0,8252.0,40.0,-659.0,-1537.0,-12.0,0.0,8.0,0.0,0.0,5.0,1.0
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,100,Blue,team,,,Unicorns of Love.CIS,oe:team:e84133caa1e561518201cc7d33f14ed,,Rell,Twisted Fate,Olaf,Akali,Taliyah,Udyr,Thresh,Aphelios,Jax,Azir,2127,1,17,12,41,17,12,3.0,1.0,0.0,0.0,1.0,,,,0.4795,0.8181,1.0,3.0,2.0,,,1.0,1.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,9.0,4.0,0.0,1.0,,,2.0,0.0,69419.0,1958.2228,,2521.0437,2377.9408,103.0,2.9055,54.0,1.5233,39.0,285.0,8.0395,64857,41784.0,1178.6742,,58058.0,0.0283865,0.69,,836.0,260.0,177.0,15.0,30.9168,15434.0,17976.0,320.0,15198.0,17305.0,299.0,236.0,671.0,21.0,2.0,3.0,3.0,3.0,8.0,2.0,23463.0,27807.0,485.0,23439.0,27515.0,489.0,24.0,292.0,-4.0,3.0,6.0,4.0,4.0,11.0,3.0,31650.0,37501.0,648.0,32832.0,40604.0,675.0,-1182.0,-3103.0,-27.0,4.0,7.0,8.0,8.0,21.0,4.0,42875.0,50490.0,777.0,40400.0,48401.0,815.0,2475.0,2089.0,-38.0,7.0,16.0,8.0,8.0,21.0,7.0
ESPORTSTMNT06/1570357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570357?gameHash=4a89dc30aa15630a,LCL,2021,Spring,0,2021-02-13 12:23:49,1.0,11.03,200,Red,team,,,Gambit Esports,oe:team:418bd4b8f699d70c4509d7f9c768a3a,,Xayah,Lillia,Renekton,Gnar,Orianna,Camille,Kai'Sa,Alistar,Nidalee,Ryze,2127,0,12,17,33,12,17,1.0,0.0,0.0,0.0,0.0,,,,0.3385,0.8181,0.0,2.0,3.0,,,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,,,0.0,1.0,1.0,0.0,4.0,9.0,1.0,0.0,,,0.0,2.0,57488.0,1621.6643,,2884.2595,2252.6657,109.0,3.0748,53.0,1.4951,47.0,265.0,7.4753,59076,36003.0,1015.5994,,56433.0,-0.0283865,-0.69,,875.0,224.0,180.0,4.0,31.0014,15198.0,17305.0,299.0,15434.0,17976.0,320.0,-236.0,-671.0,-21.0,3.0,8.0,2.0,2.0,3.0,3.0,23439.0,27515.0,489.0,23463.0,27807.0,485.0,-24.0,-292.0,4.0,4.0,11.0,3.0,3.0,6.0,4.0,32832.0,40604.0,675.0,31650.0,37501.0,648.0,1182.0,3103.0,27.0,8.0,21.0,4.0,4.0,7.0,8.0,40400.0,48401.0,815.0,42875.0,50490.0,777.0,-2475.0,-2089.0,38.0,8.0,21.0,7.0,7.0,16.0,8.0
ESPORTSTMNT06/1570381,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570381?gameHash=ee7798e7b588b718,LCL,2021,Spring,0,2021-02-13 13:52:58,1.0,11.03,1,Blue,top,Maynter,oe:player:63dd174baf11b12006e5dc29c2269a1,Dragon Army,oe:team:e8d370a0e90adebb0571ec096375906,Renekton,Thresh,Graves,Kai'Sa,Gangplank,Malphite,,,,,,1942,0,0,3,1,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0618,0.4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4307.0,133.069,0.131019,629.5675,562.6468,15.0,0.4634,8.0,0.2472,7.0,39.0,1.2049,9011,4774.0,147.4974,0.178319,8875.0,,,213.0,203.0,10.0,3.0,0.0,6.5808,3175.0,4364.0,81.0,3005.0,3857.0,69.0,170.0,507.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4738.0,7056.0,125.0,4414.0,5402.0,92.0,324.0,1654.0,33.0,0.0,0.0,1.0,1.0,0.0,0.0,6152.0,9049.0,155.0,6082.0,7940.0,134.0,70.0,1109.0,21.0,0.0,1.0,1.0,1.0,0.0,0.0,7502.0,10826.0,186.0,7742.0,9327.0,160.0,-240.0,1499.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0
ESPORTSTMNT06/1570381,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570381?gameHash=ee7798e7b588b718,LCL,2021,Spring,0,2021-02-13 13:52:58,1.0,11.03,2,Blue,jng,ItsCortez,oe:player:883f7eebf15a40d54b44e2116d7bc9c,Dragon Army,oe:team:e8d370a0e90adebb0571ec096375906,Lillia,Thresh,Graves,Kai'Sa,Gangplank,Malphite,,,,,,1942,0,1,2,1,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0618,0.4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5845.0,180.587,0.177805,742.4923,445.6437,22.0,0.6797,14.0,0.4325,8.0,48.0,1.483,9803,5566.0,171.967,0.207904,9650.0,,,203.0,44.0,159.0,119.0,16.0,6.2719,3641.0,3784.0,79.0,3900.0,4227.0,78.0,-259.0,-443.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5292.0,6157.0,117.0,5372.0,6027.0,106.0,-80.0,130.0,11.0,0.0,1.0,0.0,0.0,2.0,0.0,7054.0,8123.0,155.0,6726.0,7914.0,138.0,328.0,209.0,17.0,1.0,1.0,0.0,0.0,2.0,1.0,8217.0,9606.0,178.0,7868.0,9187.0,158.0,349.0,419.0,20.0,1.0,1.0,0.0,0.0,2.0,1.0
ESPORTSTMNT06/1570381,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570381?gameHash=ee7798e7b588b718,LCL,2021,Spring,0,2021-02-13 13:52:58,1.0,11.03,3,Blue,mid,Jewish Gap,oe:player:dc1ae587a62c6f7c533fa9727e92e77,Dragon Army,oe:team:e8d370a0e90adebb0571ec096375906,Azir,Thresh,Graves,Kai'Sa,Gangplank,Malphite,,,,,,1942,0,0,1,1,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0618,0.4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,9936.0,306.9825,0.302254,482.0391,308.62,13.0,0.4016,6.0,0.1854,9.0,23.0,0.7106,10719,6482.0,200.2678,0.242121,10225.0,,,286.0,254.0,32.0,24.0,4.0,8.8363,3285.0,4912.0,86.0,3421.0,4649.0,90.0,-136.0,263.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5169.0,8001.0,143.0,5133.0,6979.0,132.0,36.0,1022.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,6573.0,10418.0,184.0,7332.0,9895.0,195.0,-759.0,523.0,-11.0,0.0,1.0,0.0,0.0,1.0,1.0,8482.0,12898.0,235.0,9347.0,12874.0,252.0,-865.0,24.0,-17.0,0.0,1.0,0.0,0.0,1.0,1.0
ESPORTSTMNT06/1570381,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570381?gameHash=ee7798e7b588b718,LCL,2021,Spring,0,2021-02-13 13:52:58,1.0,11.03,4,Blue,bot,MDB,oe:player:6c152faa4bbca9a007fc7c608b6583a,Dragon Army,oe:team:e8d370a0e90adebb0571ec096375906,Xayah,Thresh,Graves,Kai'Sa,Gangplank,Malphite,,,,,,1942,0,1,3,1,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0618,0.4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8943.0,276.3028,0.272047,425.932,215.0051,10.0,0.309,11.0,0.3399,3.0,43.0,1.3285,11942,7705.0,238.0536,0.287805,11800.0,,,289.0,274.0,15.0,11.0,0.0,8.9289,3785.0,3275.0,83.0,4302.0,3391.0,82.0,-517.0,-116.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5653.0,5261.0,127.0,6526.0,5235.0,136.0,-873.0,26.0,-9.0,1.0,0.0,1.0,1.0,0.0,0.0,7597.0,7546.0,181.0,8228.0,6850.0,176.0,-631.0,696.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,9187.0,9355.0,227.0,9965.0,9142.0,220.0,-778.0,213.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0
ESPORTSTMNT06/1570381,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570381?gameHash=ee7798e7b588b718,LCL,2021,Spring,0,2021-02-13 13:52:58,1.0,11.03,5,Blue,sup,Dimonko,oe:player:fd2b2449dcb232ae3130a511350b6e9,Dragon Army,oe:team:e8d370a0e90adebb0571ec096375906,Gragas,Thresh,Graves,Kai'Sa,Gangplank,Malphite,,,,,,1942,0,0,2,1,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0618,0.4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3842.0,118.7024,0.116874,385.551,388.1153,51.0,1.5757,10.0,0.309,15.0,75.0,2.3172,6482,2245.0,69.3615,0.0838502,6225.0,,,40.0,40.0,0.0,0.0,0.0,1.2358,2676.0,2621.0,19.0,3034.0,2493.0,10.0,-358.0,128.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,3820.0,3910.0,28.0,4489.0,4177.0,13.0,-669.0,-267.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,4654.0,5410.0,33.0,5360.0,5718.0,17.0,-706.0,-308.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,5409.0,6238.0,38.0,6550.0,7050.0,32.0,-1141.0,-812.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0
ESPORTSTMNT06/1570381,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1570381?gameHash=ee7798e7b588b718,LCL,2021,Spring,0,2021-02-13 13:52:58,1.0,11.03,6,Red,top,Smurf,oe:player:83bb08a967d0acd1391834744adfde9,One Breath Gaming,oe:team:785bf7c68fff8e64a5b17ba5972f10a,Gnar,Camille,Udyr,Leona,Yone,Lucian,,,,,,1942,1,1,0,7,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3399,0.4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10191.0,314.861,0.18149,367.8167,388.7642,13.0,0.4016,6.0,0.1854,3.0,26.0,0.8033,11349,7112.0,219.7322,0.177524,9675.0,,,214.0,190.0,24.0,1.0,7.0,6.6117,3005.0,3857.0,69.0,3175.0,4364.0,81.0,-170.0,-507.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,4414.0,5402.0,92.0,4738.0,7056.0,125.0,-324.0,-1654.0,-33.0,1.0,0.0,0.0,0.0,0.0,1.0,6082.0,7940.0,134.0,6152.0,9049.0,155.0,-70.0,-1109.0,-21.0,1.0,0.0,0.0,0.0,1.0,1.0,7742.0,9327.0,160.0,7502.0,10826.0,186.0,240.0,-1499.0,-26.0,1.0,0.0,0.0,0.0,1.0,1.0
