gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,1,Blue,top,Smoke,oe:player:bc93fd0fa19ed26b6adf8293ada5540,ATLAS eSports Team,oe:team:575f4ac938f0343c3e0f26bbacfe063,Poppy,Lee Sin,Kalista,Ahri,,,,,,,,2990,0,2,6,8,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,0.6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18641.0,374.0669,0.143076,663.0502,0.0,25.0,0.5017,7.0,0.1405,2.0,0.0,0.0,17180.0,10825.0,217.2241,0.209705,17150.0,,,345.0,317.0,28.0,23.0,5.0,6.9231,3016.0,4493.0,75.0,2635.0,3638.0,59.0,381.0,855.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4514.0,6167.0,101.0,4132.0,5567.0,98.0,382.0,600.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,6259.0,7693.0,129.0,6308.0,7865.0,147.0,-49.0,-172.0,-18.0,0.0,1.0,1.0,0.0,0.0,0.0,7564.0,9051.0,151.0,7783.0,9375.0,157.0,-219.0,-324.0,-6.0,0.0,1.0,2.0,1.0,2.0,0.0
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,2,Blue,jng,Stansfield,oe:player:f6754671c97e0a017dfdffefe6957d7,ATLAS eSports Team,oe:team:575f4ac938f0343c3e0f26bbacfe063,Ekko,Lee Sin,Kalista,Ahri,,,,,,,,2990,0,1,5,10,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,0.6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,12809.0,257.0368,0.0983137,826.0736,0.0,28.0,0.5619,10.0,0.2007,3.0,0.0,0.0,15340.0,8985.0,180.301,0.174061,14350.0,,,175.0,49.0,126.0,107.0,19.0,3.5117,2846.0,3369.0,36.0,3133.0,3974.0,46.0,-287.0,-605.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,4581.0,5856.0,55.0,4632.0,6283.0,62.0,-51.0,-427.0,-7.0,0.0,1.0,0.0,0.0,1.0,0.0,6196.0,7627.0,74.0,6153.0,7495.0,72.0,43.0,132.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,7519.0,8966.0,90.0,7536.0,8938.0,83.0,-17.0,28.0,7.0,0.0,2.0,1.0,0.0,3.0,0.0
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,3,Blue,mid,Kroghsen,oe:player:87b054fedd48e75aacb773f6adbb04a,ATLAS eSports Team,oe:team:575f4ac938f0343c3e0f26bbacfe063,Corki,Lee Sin,Kalista,Ahri,,,,,,,,2990,0,1,6,10,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,0.6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,41315.0,829.0635,0.317108,576.3211,0.0,23.0,0.4615,17.0,0.3411,8.0,0.0,0.0,17084.0,10729.0,215.2977,0.207846,15750.0,,,368.0,325.0,43.0,37.0,6.0,7.3846,3296.0,4467.0,91.0,3385.0,4854.0,94.0,-89.0,-387.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5339.0,6872.0,141.0,5214.0,7155.0,139.0,125.0,-283.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,7074.0,8709.0,169.0,7601.0,9257.0,191.0,-527.0,-548.0,-22.0,0.0,2.0,0.0,1.0,0.0,0.0,8716.0,10258.0,203.0,9616.0,11202.0,224.0,-900.0,-944.0,-21.0,0.0,2.0,1.0,2.0,2.0,0.0
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,4,Blue,bot,RafaelVQ,oe:player:10bbb02a191943730e814d7a6860949,ATLAS eSports Team,oe:team:575f4ac938f0343c3e0f26bbacfe063,Caitlyn,Lee Sin,Kalista,Ahri,,,,,,,,2990,0,7,1,6,13,21,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2609,0.6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,49156.0,986.408,0.37729,622.4749,0.0,23.0,0.4615,19.0,0.3813,0.0,0.0,0.0,20439.0,14084.0,282.6221,0.272839,18550.0,,,383.0,351.0,32.0,29.0,3.0,7.6856,3315.0,3366.0,83.0,3040.0,3081.0,72.0,275.0,285.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,5328.0,4957.0,122.0,4441.0,4820.0,112.0,887.0,137.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,7476.0,6852.0,154.0,6482.0,6592.0,157.0,994.0,260.0,-3.0,1.0,2.0,0.0,0.0,0.0,1.0,9279.0,8615.0,194.0,8451.0,8322.0,194.0,828.0,293.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,5,Blue,sup,Korpse,oe:player:2501f7ba78cc0fd07efb7c17666ff12,ATLAS eSports Team,oe:team:575f4ac938f0343c3e0f26bbacfe063,Trundle,Lee Sin,Kalista,Ahri,,,,,,,,2990,0,2,3,11,13,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2609,0.6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8366.0,167.8796,0.0642121,857.4783,0.0,68.0,1.3645,30.0,0.602,10.0,0.0,0.0,13352.0,6997.0,140.408,0.135549,12600.0,,,71.0,71.0,0.0,0.0,0.0,1.4247,2315.0,2659.0,10.0,1963.0,3081.0,11.0,352.0,-422.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,4050.0,3908.0,17.0,2843.0,4123.0,14.0,1207.0,-215.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,5479.0,4598.0,25.0,4518.0,5127.0,24.0,961.0,-529.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,6744.0,5358.0,32.0,5903.0,6092.0,29.0,841.0,-734.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,6,Red,top,ÇAY Blave,,ÇAYDANLIK,,Maokai,Nidalee,Alistar,Kindred,,,,,,,,2990,1,4,2,16,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4214,0.6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29430.0,590.5686,0.205252,1112.7492,0.0,22.0,0.4415,17.0,0.3411,6.0,0.0,0.0,17397.0,11042.0,221.5786,0.191157,17380.0,,,312.0,296.0,16.0,15.0,1.0,6.2609,2635.0,3638.0,59.0,3016.0,4493.0,75.0,-381.0,-855.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,4132.0,5567.0,98.0,4514.0,6167.0,101.0,-382.0,-600.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,6308.0,7865.0,147.0,6259.0,7693.0,129.0,49.0,172.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,7783.0,9375.0,157.0,7564.0,9051.0,151.0,219.0,324.0,6.0,1.0,2.0,0.0,0.0,1.0,2.0
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,7,Red,jng,ÇAY shoo,,ÇAYDANLIK,,Gragas,Nidalee,Alistar,Kindred,,,,,,,,2990,1,2,1,16,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4214,0.6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,16262.0,326.3278,0.113415,850.3344,0.0,38.0,0.7625,23.0,0.4615,7.0,0.0,0.0,16928.0,10573.0,212.1672,0.183038,15350.0,,,166.0,58.0,108.0,95.0,13.0,3.3311,3133.0,3974.0,46.0,2846.0,3369.0,36.0,287.0,605.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4632.0,6283.0,62.0,4581.0,5856.0,55.0,51.0,427.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,6153.0,7495.0,72.0,6196.0,7627.0,74.0,-43.0,-132.0,-2.0,0.0,1.0,0.0,0.0,2.0,0.0,7536.0,8938.0,83.0,7519.0,8966.0,90.0,17.0,-28.0,-7.0,0.0,3.0,0.0,0.0,2.0,1.0
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,8,Red,mid,WaenA,oe:player:eb4a97ac9936caf7fad8c8eaa1b0eed,ÇAYDANLIK,,Varus,Nidalee,Alistar,Kindred,,,,,,,,2990,1,11,1,6,21,13,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4214,0.6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,54122.0,1086.0602,0.377459,344.6488,0.0,25.0,0.5017,13.0,0.2609,6.0,0.0,0.0,21484.0,15129.0,303.592,0.261909,19175.0,,,405.0,365.0,40.0,37.0,3.0,8.1271,3385.0,4854.0,94.0,3296.0,4467.0,91.0,89.0,387.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5214.0,7155.0,139.0,5339.0,6872.0,141.0,-125.0,283.0,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,7601.0,9257.0,191.0,7074.0,8709.0,169.0,527.0,548.0,22.0,1.0,0.0,0.0,0.0,2.0,0.0,9616.0,11202.0,224.0,8716.0,10258.0,203.0,900.0,944.0,21.0,2.0,2.0,0.0,0.0,2.0,1.0
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,9,Red,bot,ÇAY maginA,,ÇAYDANLIK,,Sivir,Nidalee,Alistar,Kindred,,,,,,,,2990,1,4,3,14,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4214,0.6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,34104.0,684.3612,0.237849,395.4783,0.0,27.0,0.5418,19.0,0.3813,4.0,0.0,0.0,20171.0,13816.0,277.2441,0.239179,18300.0,,,432.0,410.0,22.0,18.0,4.0,8.6689,3040.0,3081.0,72.0,3315.0,3366.0,83.0,-275.0,-285.0,-11.0,0.0,0.0,1.0,0.0,1.0,0.0,4441.0,4820.0,112.0,5328.0,4957.0,122.0,-887.0,-137.0,-10.0,0.0,0.0,1.0,0.0,2.0,0.0,6482.0,6592.0,157.0,7476.0,6852.0,154.0,-994.0,-260.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,8451.0,8322.0,194.0,9279.0,8615.0,194.0,-828.0,-293.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,10,Red,sup,Cadyz,oe:player:f256299e946b02c5246a1afdf14651f,ÇAYDANLIK,,Braum,Nidalee,Alistar,Kindred,,,,,,,,2990,1,0,6,15,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4214,0.6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9467.0,189.9732,0.066025,698.8896,0.0,67.0,1.3445,10.0,0.2007,11.0,0.0,0.0,13559.0,7204.0,144.5619,0.124716,11825.0,,,63.0,63.0,0.0,0.0,0.0,1.2642,1963.0,3081.0,11.0,2315.0,2659.0,10.0,-352.0,422.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2843.0,4123.0,14.0,4050.0,3908.0,17.0,-1207.0,215.0,-3.0,0.0,0.0,1.0,2.0,0.0,0.0,4518.0,5127.0,24.0,5479.0,4598.0,25.0,-961.0,529.0,-1.0,0.0,0.0,2.0,2.0,1.0,0.0,5903.0,6092.0,29.0,6744.0,5358.0,32.0,-841.0,734.0,-3.0,0.0,3.0,2.0,2.0,1.0,0.0
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,100,Blue,team,,,ATLAS eSports Team,oe:team:575f4ac938f0343c3e0f26bbacfe063,,Lee Sin,Kalista,Ahri,,,,,,,,2990,0,13,21,45,13,21,1.0,0.0,0.0,0.0,1.0,,,,0.2609,0.6823,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,,,0.0,0.0,2.0,1.0,7.0,9.0,1.0,1.0,,,1.0,1.0,130287.0,2614.4548,,3545.398,0.0,167.0,3.3512,83.0,1.6656,23.0,0.0,0.0,83395.0,51621.0,1035.8729,,78400.0,-0.0452534,1.19,,1113.0,229.0,196.0,33.0,26.9298,14788.0,18354.0,295.0,14156.0,18628.0,282.0,632.0,-274.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,23812.0,27760.0,436.0,21262.0,27948.0,425.0,2550.0,-188.0,11.0,2.0,4.0,1.0,1.0,1.0,2.0,32484.0,35479.0,551.0,31062.0,36336.0,591.0,1422.0,-857.0,-40.0,3.0,8.0,1.0,1.0,1.0,3.0,39822.0,42248.0,670.0,39289.0,43929.0,687.0,533.0,-1681.0,-17.0,3.0,8.0,4.0,4.0,11.0,3.0
TRNA1/1001080120,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080120?gameHash=e4f614ecca239c8c,TPL,2016,,0,2016-04-04 15:39:55,1,6.06,200,Red,team,,,ÇAYDANLIK,,,Nidalee,Alistar,Kindred,,,,,,,,2990,1,21,13,67,21,13,3.0,1.0,1.0,0.0,0.0,,,,0.4214,0.6823,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,1.0,2.0,0.0,0.0,9.0,7.0,0.0,0.0,,,1.0,1.0,143385.0,2877.291,,3402.1003,0.0,179.0,3.592,82.0,1.6455,34.0,0.0,0.0,89539.0,57765.0,1159.1639,,82030.0,0.0452534,-1.19,,1192.0,186.0,165.0,21.0,27.6522,14156.0,18628.0,282.0,14788.0,18354.0,295.0,-632.0,274.0,-13.0,0.0,0.0,1.0,1.0,1.0,0.0,21262.0,27948.0,425.0,23812.0,27760.0,436.0,-2550.0,188.0,-11.0,1.0,1.0,2.0,2.0,4.0,1.0,31062.0,36336.0,591.0,32484.0,35479.0,551.0,-1422.0,857.0,40.0,1.0,1.0,3.0,3.0,8.0,1.0,39289.0,43929.0,687.0,39822.0,42248.0,670.0,-533.0,1681.0,17.0,4.0,11.0,3.0,3.0,8.0,4.0
TRNA1/1001080123,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080123?gameHash=02cab4399497efc6,TPL,2016,,0,2016-04-04 17:09:16,2,6.06,1,Blue,top,ÇAY Blave,,ÇAYDANLIK,,Nautilus,Nidalee,Alistar,Kindred,,,,,,,,2360,0,1,5,13,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4576,0.9661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13361.0,339.6864,0.141037,799.7797,0.0,20.0,0.5085,9.0,0.2288,2.0,0.0,0.0,13187.0,8117.0,206.3644,0.170559,12850.0,,,200.0,194.0,6.0,4.0,2.0,5.0847,2671.0,3034.0,41.0,2301.0,2658.0,27.0,370.0,376.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4140.0,5039.0,59.0,3693.0,4392.0,50.0,447.0,647.0,9.0,0.0,2.0,1.0,0.0,2.0,2.0,5864.0,7091.0,100.0,5642.0,7531.0,94.0,222.0,-440.0,6.0,0.0,2.0,2.0,0.0,3.0,2.0,7245.0,9001.0,123.0,7665.0,10153.0,141.0,-420.0,-1152.0,-18.0,0.0,6.0,3.0,0.0,3.0,3.0
TRNA1/1001080123,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080123?gameHash=02cab4399497efc6,TPL,2016,,0,2016-04-04 17:09:16,2,6.06,2,Blue,jng,ÇAY shoo,,ÇAYDANLIK,,Graves,Nidalee,Alistar,Kindred,,,,,,,,2360,0,5,1,10,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4576,0.9661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22801.0,579.6864,0.240684,685.1949,0.0,14.0,0.3559,10.0,0.2542,3.0,0.0,0.0,15626.0,10556.0,268.3729,0.221806,14750.0,,,209.0,91.0,118.0,85.0,33.0,5.3136,3471.0,3998.0,48.0,2930.0,3387.0,31.0,541.0,611.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,5685.0,6289.0,74.0,5023.0,5886.0,51.0,662.0,403.0,23.0,2.0,2.0,0.0,2.0,1.0,0.0,7214.0,8078.0,97.0,6679.0,7808.0,67.0,535.0,270.0,30.0,2.0,2.0,0.0,3.0,1.0,0.0,9104.0,10541.0,125.0,7989.0,9457.0,81.0,1115.0,1084.0,44.0,3.0,4.0,0.0,3.0,1.0,2.0
TRNA1/1001080123,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080123?gameHash=02cab4399497efc6,TPL,2016,,0,2016-04-04 17:09:16,2,6.06,3,Blue,mid,WaenA,oe:player:eb4a97ac9936caf7fad8c8eaa1b0eed,ÇAYDANLIK,,Corki,Nidalee,Alistar,Kindred,,,,,,,,2360,0,10,5,6,18,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4576,0.9661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30926.0,786.2542,0.326451,593.0085,0.0,11.0,0.2797,4.0,0.1017,3.0,0.0,0.0,18340.0,13270.0,337.3729,0.278831,17775.0,,,357.0,304.0,53.0,46.0,7.0,9.0763,3654.0,4635.0,83.0,3730.0,4702.0,91.0,-76.0,-67.0,-8.0,1.0,0.0,1.0,0.0,1.0,0.0,5608.0,6927.0,124.0,5825.0,7085.0,138.0,-217.0,-158.0,-14.0,2.0,0.0,2.0,0.0,4.0,0.0,7708.0,9281.0,182.0,7535.0,8888.0,170.0,173.0,393.0,12.0,2.0,0.0,2.0,0.0,5.0,0.0,10385.0,11305.0,228.0,10168.0,11667.0,230.0,217.0,-362.0,-2.0,5.0,1.0,2.0,1.0,5.0,0.0
TRNA1/1001080123,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080123?gameHash=02cab4399497efc6,TPL,2016,,0,2016-04-04 17:09:16,2,6.06,4,Blue,bot,ÇAY maginA,,ÇAYDANLIK,,Sivir,Nidalee,Alistar,Kindred,,,,,,,,2360,0,2,5,13,18,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4576,0.9661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,21229.0,539.7203,0.224091,484.8305,0.0,15.0,0.3814,5.0,0.1271,2.0,0.0,0.0,15060.0,9990.0,253.9831,0.209913,15000.0,,,286.0,260.0,26.0,18.0,8.0,7.2712,3174.0,3144.0,76.0,3631.0,3918.0,92.0,-457.0,-774.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,5468.0,5698.0,130.0,5537.0,5290.0,120.0,-69.0,408.0,10.0,0.0,2.0,0.0,1.0,0.0,1.0,7081.0,7527.0,163.0,8137.0,7420.0,160.0,-1056.0,107.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,8685.0,9697.0,202.0,9800.0,9178.0,196.0,-1115.0,519.0,6.0,0.0,6.0,1.0,2.0,2.0,1.0
TRNA1/1001080123,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080123?gameHash=02cab4399497efc6,TPL,2016,,0,2016-04-04 17:09:16,2,6.06,5,Blue,sup,Cadyz,oe:player:f256299e946b02c5246a1afdf14651f,ÇAYDANLIK,,Braum,Nidalee,Alistar,Kindred,,,,,,,,2360,0,0,4,15,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4576,0.9661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6417.0,163.1441,0.067737,649.3475,0.0,53.0,1.3475,17.0,0.4322,9.0,0.0,0.0,10728.0,5658.0,143.8475,0.118891,10275.0,,,51.0,49.0,2.0,1.0,1.0,1.2966,2051.0,1559.0,10.0,2568.0,1960.0,12.0,-517.0,-401.0,-2.0,0.0,1.0,0.0,1.0,0.0,1.0,3180.0,2498.0,13.0,3807.0,3247.0,17.0,-627.0,-749.0,-4.0,0.0,3.0,1.0,1.0,3.0,1.0,4409.0,3564.0,21.0,5036.0,4473.0,21.0,-627.0,-909.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,5708.0,5379.0,27.0,6348.0,5492.0,26.0,-640.0,-113.0,1.0,0.0,7.0,1.0,1.0,5.0,2.0
TRNA1/1001080123,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080123?gameHash=02cab4399497efc6,TPL,2016,,0,2016-04-04 17:09:16,2,6.06,6,Red,top,Smoke,oe:player:bc93fd0fa19ed26b6adf8293ada5540,ATLAS eSports Team,oe:team:575f4ac938f0343c3e0f26bbacfe063,Malphite,Maokai,Gragas,Poppy,,,,,,,,2360,1,0,4,13,20,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5085,0.9661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12901.0,327.9915,0.135316,533.6186,0.0,21.0,0.5339,13.0,0.3305,4.0,0.0,0.0,13909.0,8839.0,224.7203,0.18532,12100.0,,,266.0,247.0,19.0,18.0,1.0,6.7627,2301.0,2658.0,27.0,2671.0,3034.0,41.0,-370.0,-376.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,3693.0,4392.0,50.0,4140.0,5039.0,59.0,-447.0,-647.0,-9.0,0.0,2.0,2.0,0.0,2.0,1.0,5642.0,7531.0,94.0,5864.0,7091.0,100.0,-222.0,440.0,-6.0,0.0,3.0,2.0,0.0,2.0,2.0,7665.0,10153.0,141.0,7245.0,9001.0,123.0,420.0,1152.0,18.0,0.0,3.0,3.0,0.0,6.0,3.0
TRNA1/1001080123,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080123?gameHash=02cab4399497efc6,TPL,2016,,0,2016-04-04 17:09:16,2,6.06,7,Red,jng,Stansfield,oe:player:f6754671c97e0a017dfdffefe6957d7,ATLAS eSports Team,oe:team:575f4ac938f0343c3e0f26bbacfe063,Elise,Maokai,Gragas,Poppy,,,,,,,,2360,1,5,5,5,20,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5085,0.9661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15286.0,388.6271,0.160331,664.8305,0.0,4.0,0.1017,7.0,0.178,3.0,0.0,0.0,12960.0,7890.0,200.5932,0.165424,11200.0,,,138.0,47.0,91.0,84.0,7.0,3.5085,2930.0,3387.0,31.0,3471.0,3998.0,48.0,-541.0,-611.0,-17.0,0.0,0.0,0.0,0.0,1.0,0.0,5023.0,5886.0,51.0,5685.0,6289.0,74.0,-662.0,-403.0,-23.0,2.0,1.0,0.0,2.0,2.0,0.0,6679.0,7808.0,67.0,7214.0,8078.0,97.0,-535.0,-270.0,-30.0,3.0,1.0,0.0,2.0,2.0,0.0,7989.0,9457.0,81.0,9104.0,10541.0,125.0,-1115.0,-1084.0,-44.0,3.0,1.0,2.0,3.0,4.0,0.0
TRNA1/1001080123,complete,http://matchhistory.tr.leagueoflegends.com/tr/#match-details/TRNA1/1001080123?gameHash=02cab4399497efc6,TPL,2016,,0,2016-04-04 17:09:16,2,6.06,8,Red,mid,Kroghsen,oe:player:87b054fedd48e75aacb773f6adbb04a,ATLAS eSports Team,oe:team:575f4ac938f0343c3e0f26bbacfe063,Gangplank,Maokai,Gragas,Poppy,,,,,,,,2360,1,4,2,13,20,18,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5085,0.9661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,34638.0,880.6271,0.36331,637.8051,0.0,19.0,0.4831,4.0,0.1017,3.0,0.0,0.0,17152.0,12082.0,307.1695,0.25331,13925.0,,,354.0,350.0,4.0,3.0,1.0,9.0,3730.0,4702.0,91.0,3654.0,4635.0,83.0,76.0,67.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0,5825.0,7085.0,138.0,5608.0,6927.0,124.0,217.0,158.0,14.0,0.0,4.0,0.0,2.0,0.0,2.0,7535.0,8888.0,170.0,7708.0,9281.0,182.0,-173.0,-393.0,-12.0,0.0,5.0,0.0,2.0,0.0,2.0,10168.0,11667.0,230.0,10385.0,11305.0,228.0,-217.0,362.0,2.0,1.0,5.0,0.0,5.0,1.0,2.0
