gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,1,Blue,top,R4VEN,oe:player:83b3577e711602105ca98fcec43e183,Illuminar Gaming,oe:team:6cedba5819b5b7c465cb3bb48bfe855,Akali,Zoe,Irelia,Cassiopeia,Ezreal,Tahm Kench,,,,,,2268,0,2,4,7,15,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3968,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,20308.0,537.2487,0.24071,672.9365,545.5026,17.0,0.4497,5.0,0.1323,6.0,37.0,0.9788,11762.0,6860.0,181.4815,0.178088,11854.0,,,241.0,234.0,7.0,3.0,0.0,6.3757,3102.0,4754.0,80.0,3043.0,4787.0,77.0,59.0,-33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4673.0,7275.0,124.0,4498.0,7413.0,111.0,175.0,-138.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,7004.0,10116.0,165.0,6042.0,9835.0,145.0,962.0,281.0,20.0,1.0,1.0,0.0,0.0,1.0,1.0,8728.0,12946.0,202.0,7706.0,11997.0,189.0,1022.0,949.0,13.0,1.0,3.0,0.0,0.0,1.0,2.0
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,2,Blue,jng,CrAzY,oe:player:b222cf9a8d6ce14b732c4dd819b908d,Illuminar Gaming,oe:team:6cedba5819b5b7c465cb3bb48bfe855,Lee Sin,Zoe,Irelia,Cassiopeia,Ezreal,Tahm Kench,,,,,,2268,0,5,7,7,15,16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3968,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19178.0,507.3545,0.227316,1118.9947,1068.0688,16.0,0.4233,14.0,0.3704,7.0,52.0,1.3757,12603.0,7701.0,203.7302,0.199922,12000.0,,,194.0,22.0,172.0,114.0,4.0,5.1323,3210.0,3748.0,64.0,3218.0,3569.0,62.0,-8.0,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5840.0,94.0,4766.0,5347.0,85.0,434.0,493.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,7663.0,9303.0,137.0,6371.0,7995.0,120.0,1292.0,1308.0,17.0,2.0,2.0,1.0,1.0,0.0,2.0,9378.0,10997.0,163.0,8000.0,10264.0,147.0,1378.0,733.0,16.0,3.0,3.0,2.0,2.0,0.0,3.0
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,3,Blue,mid,Kashtelan,oe:player:eeab3b1194e6d900962147d2f418d5e,Illuminar Gaming,oe:team:6cedba5819b5b7c465cb3bb48bfe855,Urgot,Zoe,Irelia,Cassiopeia,Ezreal,Tahm Kench,,,,,,2268,0,6,2,6,15,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3968,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21145.0,559.3915,0.250631,583.5185,1166.2963,24.0,0.6349,12.0,0.3175,11.0,59.0,1.5608,14688.0,9786.0,258.8889,0.254052,13075.0,,,298.0,293.0,5.0,4.0,0.0,7.8836,3317.0,4791.0,91.0,3192.0,4758.0,86.0,125.0,33.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5620.0,7731.0,151.0,4732.0,7246.0,127.0,888.0,485.0,24.0,1.0,1.0,0.0,0.0,1.0,0.0,7601.0,10297.0,201.0,6248.0,9109.0,169.0,1353.0,1188.0,32.0,1.0,2.0,0.0,0.0,1.0,0.0,9791.0,12493.0,233.0,7342.0,11583.0,191.0,2449.0,910.0,42.0,3.0,2.0,0.0,0.0,2.0,0.0
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,4,Blue,bot,Puki Style,oe:player:b4a352b2b8782a2bb21bce1a2f47645,Illuminar Gaming,oe:team:6cedba5819b5b7c465cb3bb48bfe855,Lucian,Zoe,Irelia,Cassiopeia,Ezreal,Tahm Kench,,,,,,2268,0,1,3,3,15,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3968,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19118.0,505.7672,0.226605,518.2011,450.1058,14.0,0.3704,13.0,0.3439,6.0,46.0,1.2169,14624.0,9722.0,257.1958,0.252391,13350.0,,,358.0,314.0,44.0,32.0,8.0,9.4709,3203.0,3458.0,89.0,3107.0,3018.0,78.0,96.0,440.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5661.0,6152.0,152.0,5026.0,5686.0,138.0,635.0,466.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7899.0,8671.0,210.0,6510.0,7538.0,180.0,1389.0,1133.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9967.0,10744.0,263.0,8215.0,9748.0,223.0,1752.0,996.0,40.0,0.0,2.0,0.0,0.0,1.0,0.0
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,5,Blue,sup,deIord,oe:player:dff76cdcc293c4dbc9cbcf9d7bb8898,Illuminar Gaming,oe:team:6cedba5819b5b7c465cb3bb48bfe855,Thresh,Zoe,Irelia,Cassiopeia,Ezreal,Tahm Kench,,,,,,2268,0,1,0,12,15,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3968,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4618.0,122.1693,0.054737,256.5344,335.3704,59.0,1.5608,13.0,0.3439,15.0,102.0,2.6984,9353.0,4451.0,117.7513,0.115547,8725.0,,,26.0,24.0,2.0,0.0,2.0,0.6878,2079.0,2395.0,1.0,1856.0,2514.0,4.0,223.0,-119.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0,3901.0,3.0,2831.0,3726.0,6.0,268.0,175.0,-3.0,0.0,2.0,0.0,0.0,1.0,1.0,4212.0,5121.0,6.0,3689.0,5008.0,9.0,523.0,113.0,-3.0,0.0,3.0,0.0,0.0,1.0,1.0,5583.0,7483.0,7.0,4726.0,6270.0,14.0,857.0,1213.0,-7.0,0.0,6.0,0.0,0.0,2.0,2.0
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,6,Red,top,Agresivoo,oe:player:5be118a1aa52664e1dff15ff96c1e67,Esports Performance Center,oe:team:43155cbab766d2364949a70d7cc1e05,Aatrox,Sejuani,Braum,Camille,Alistar,Lissandra,,,,,,2268,1,1,2,7,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4233,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17306.0,457.8307,0.209539,867.2222,552.5132,21.0,0.5556,3.0,0.0794,8.0,38.0,1.0053,13868.0,8966.0,237.1958,0.20933,11350.0,,,278.0,248.0,30.0,14.0,4.0,7.3545,3043.0,4787.0,77.0,3102.0,4754.0,80.0,-59.0,33.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4498.0,7413.0,111.0,4673.0,7275.0,124.0,-175.0,138.0,-13.0,0.0,1.0,0.0,0.0,0.0,0.0,6042.0,9835.0,145.0,7004.0,10116.0,165.0,-962.0,-281.0,-20.0,0.0,1.0,1.0,1.0,1.0,0.0,7706.0,11997.0,189.0,8728.0,12946.0,202.0,-1022.0,-949.0,-13.0,0.0,1.0,2.0,1.0,3.0,0.0
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,7,Red,jng,Cinkrof,oe:player:6b3481654facc1e7fe3e312883ea8f3,Esports Performance Center,oe:team:43155cbab766d2364949a70d7cc1e05,Karthus,Sejuani,Braum,Camille,Alistar,Lissandra,,,,,,2268,1,5,5,11,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4233,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26917.0,712.0899,0.325907,702.8042,302.8042,17.0,0.4497,8.0,0.2116,10.0,44.0,1.164,13942.0,9040.0,239.1534,0.211058,12660.0,,,202.0,41.0,161.0,125.0,1.0,5.3439,3218.0,3569.0,62.0,3210.0,3748.0,64.0,8.0,-179.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4766.0,5347.0,85.0,5200.0,5840.0,94.0,-434.0,-493.0,-9.0,1.0,0.0,1.0,1.0,1.0,1.0,6371.0,7995.0,120.0,7663.0,9303.0,137.0,-1292.0,-1308.0,-17.0,1.0,0.0,2.0,2.0,2.0,1.0,8000.0,10264.0,147.0,9378.0,10997.0,163.0,-1378.0,-733.0,-16.0,2.0,0.0,3.0,3.0,3.0,2.0
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,8,Red,mid,Matislaw,oe:player:be4ce50af0cd0d8574aa3820c37d1ae,Esports Performance Center,oe:team:43155cbab766d2364949a70d7cc1e05,Sion,Sejuani,Braum,Camille,Alistar,Lissandra,,,,,,2268,1,4,1,8,16,15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4233,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12304.0,325.5026,0.148975,780.0,1550.9788,21.0,0.5556,7.0,0.1852,11.0,44.0,1.164,13781.0,8879.0,234.8942,0.207299,12845.0,,,233.0,233.0,0.0,0.0,0.0,6.164,3192.0,4758.0,86.0,3317.0,4791.0,91.0,-125.0,-33.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,4732.0,7246.0,127.0,5620.0,7731.0,151.0,-888.0,-485.0,-24.0,0.0,1.0,0.0,1.0,1.0,0.0,6248.0,9109.0,169.0,7601.0,10297.0,201.0,-1353.0,-1188.0,-32.0,0.0,1.0,0.0,1.0,2.0,0.0,7342.0,11583.0,191.0,9791.0,12493.0,233.0,-2449.0,-910.0,-42.0,0.0,2.0,0.0,3.0,2.0,0.0
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,9,Red,bot,Lucker,oe:player:0482daf6543f102a27a265342292bb7,Esports Performance Center,oe:team:43155cbab766d2364949a70d7cc1e05,Draven,Sejuani,Braum,Camille,Alistar,Lissandra,,,,,,2268,1,5,1,9,16,15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4233,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20186.0,534.0212,0.244409,203.9947,463.1746,12.0,0.3175,15.0,0.3968,2.0,51.0,1.3492,16480.0,11578.0,306.2963,0.270315,12650.0,,,303.0,290.0,13.0,9.0,0.0,8.0159,3107.0,3018.0,78.0,3203.0,3458.0,89.0,-96.0,-440.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,5026.0,5686.0,138.0,5661.0,6152.0,152.0,-635.0,-466.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,6510.0,7538.0,180.0,7899.0,8671.0,210.0,-1389.0,-1133.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,8215.0,9748.0,223.0,9967.0,10744.0,263.0,-1752.0,-996.0,-40.0,0.0,1.0,0.0,0.0,2.0,0.0
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,10,Red,sup,Erdote,oe:player:6ff2cdf6d41f39c79d6ff057f6ffb99,Esports Performance Center,oe:team:43155cbab766d2364949a70d7cc1e05,Morgana,Sejuani,Braum,Camille,Alistar,Lissandra,,,,,,2268,1,1,6,12,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4233,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5878.0,155.5026,0.07117,424.4444,242.5397,56.0,1.4815,11.0,0.291,23.0,85.0,2.2487,9271.0,4369.0,115.582,0.102,9000.0,,,21.0,21.0,0.0,0.0,0.0,0.5556,1856.0,2514.0,4.0,2079.0,2395.0,1.0,-223.0,119.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2831.0,3726.0,6.0,3099.0,3901.0,3.0,-268.0,-175.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,3689.0,5008.0,9.0,4212.0,5121.0,6.0,-523.0,-113.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,4726.0,6270.0,14.0,5583.0,7483.0,7.0,-857.0,-1213.0,7.0,0.0,2.0,2.0,0.0,6.0,0.0
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,100,Blue,team,,,Illuminar Gaming,oe:team:6cedba5819b5b7c465cb3bb48bfe855,,Zoe,Irelia,Cassiopeia,Ezreal,Tahm Kench,Urgot,Lee Sin,Lucian,Akali,Thresh,2268,0,15,16,35,15,16,0.0,0.0,0.0,0.0,1.0,,,,0.3968,0.8201,1.0,4.0,1.0,,,0.0,0.0,3.0,1.0,,,,0.0,0.0,1.0,1.0,0.0,,,0.0,0.0,2.0,1.0,3.0,10.0,1.0,1.0,,,0.0,3.0,84367.0,2231.9312,,3150.1852,3565.3439,130.0,3.4392,57.0,1.5079,45.0,296.0,7.8307,63030.0,38518.0,1018.9947,,59004.0,0.00849297,2.05,,887.0,230.0,153.0,14.0,29.5503,14911.0,19146.0,325.0,14416.0,18646.0,307.0,495.0,500.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,24253.0,30899.0,524.0,21853.0,29418.0,467.0,2400.0,1481.0,57.0,2.0,4.0,1.0,1.0,3.0,2.0,34379.0,43508.0,719.0,28860.0,39485.0,623.0,5519.0,4023.0,96.0,4.0,8.0,1.0,1.0,3.0,4.0,43447.0,54663.0,868.0,35989.0,49862.0,764.0,7458.0,4801.0,104.0,7.0,16.0,2.0,2.0,6.0,7.0
ESPORTSTMNT05/1080423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080423?gameHash=c9590b8b366c2de5,UL,2019,Split 1,0,2019-01-22 16:00:16,1,9.01,200,Red,team,,,Esports Performance Center,oe:team:43155cbab766d2364949a70d7cc1e05,,Sejuani,Braum,Camille,Alistar,Lissandra,Aatrox,Karthus,Sion,Draven,Morgana,2268,1,16,15,47,16,15,4.0,0.0,0.0,0.0,0.0,,,,0.4233,0.8201,0.0,1.0,4.0,,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,1.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,,,3.0,0.0,82591.0,2184.9471,,2978.4656,3112.0106,127.0,3.3598,44.0,1.164,54.0,262.0,6.9312,67342.0,42830.0,1133.0688,,58505.0,-0.00849297,-2.05,,833.0,204.0,148.0,5.0,27.4339,14416.0,18646.0,307.0,14911.0,19146.0,325.0,-495.0,-500.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,21853.0,29418.0,467.0,24253.0,30899.0,524.0,-2400.0,-1481.0,-57.0,1.0,3.0,2.0,2.0,4.0,1.0,28860.0,39485.0,623.0,34379.0,43508.0,719.0,-5519.0,-4023.0,-96.0,1.0,3.0,4.0,4.0,8.0,1.0,35989.0,49862.0,764.0,43447.0,54663.0,868.0,-7458.0,-4801.0,-104.0,2.0,6.0,7.0,7.0,16.0,2.0
ESPORTSTMNT05/1070423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070423?gameHash=8fefaeb4b22bba6e,UL,2019,Split 1,0,2019-01-22 16:47:03,1,9.01,1,Blue,top,Decak,oe:player:6f6c79cf0f50202c82134254c35b192,Indictive Esports,oe:team:89d1736937ce3251b8fc0483c356230,Vladimir,Akali,Irelia,LeBlanc,Jayce,Jax,,,,,,1872,0,0,6,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0321,0.3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7941.0,254.5192,0.161682,669.2949,366.9551,10.0,0.3205,1.0,0.0321,0.0,15.0,0.4808,8925.0,4831.0,154.8397,0.180401,8535.0,,,210.0,208.0,2.0,1.0,0.0,6.7308,2914.0,4031.0,70.0,3638.0,4858.0,86.0,-724.0,-827.0,-16.0,0.0,0.0,1.0,1.0,0.0,0.0,4217.0,6577.0,103.0,6067.0,8244.0,140.0,-1850.0,-1667.0,-37.0,0.0,0.0,2.0,2.0,0.0,0.0,5364.0,8031.0,130.0,8255.0,11057.0,185.0,-2891.0,-3026.0,-55.0,0.0,0.0,4.0,3.0,1.0,0.0,7240.0,11129.0,180.0,10524.0,14632.0,241.0,-3284.0,-3503.0,-61.0,0.0,0.0,4.0,3.0,1.0,0.0
ESPORTSTMNT05/1070423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070423?gameHash=8fefaeb4b22bba6e,UL,2019,Split 1,0,2019-01-22 16:47:03,1,9.01,2,Blue,jng,Ippon,oe:player:b3baf06263c368090dc022072a5be3b,Indictive Esports,oe:team:89d1736937ce3251b8fc0483c356230,Aatrox,Akali,Irelia,LeBlanc,Jayce,Jax,,,,,,1872,0,0,2,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0321,0.3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5757.0,184.5192,0.117215,843.3974,524.8718,11.0,0.3526,6.0,0.1923,8.0,29.0,0.9295,8701.0,4607.0,147.6603,0.172035,8375.0,,,166.0,30.0,136.0,119.0,0.0,5.3205,2877.0,3105.0,51.0,3321.0,3960.0,69.0,-444.0,-855.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,4424.0,5704.0,85.0,4959.0,6026.0,100.0,-535.0,-322.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,5714.0,7301.0,106.0,7130.0,8932.0,133.0,-1416.0,-1631.0,-27.0,0.0,0.0,2.0,1.0,2.0,0.0,7092.0,9627.0,135.0,8660.0,11323.0,155.0,-1568.0,-1696.0,-20.0,0.0,0.0,2.0,1.0,2.0,0.0
ESPORTSTMNT05/1070423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070423?gameHash=8fefaeb4b22bba6e,UL,2019,Split 1,0,2019-01-22 16:47:03,1,9.01,3,Blue,mid,Chosii,oe:player:62ead8b1e25dbc7197a2007bcc4dbe0,Indictive Esports,oe:team:89d1736937ce3251b8fc0483c356230,Lissandra,Akali,Irelia,LeBlanc,Jayce,Jax,,,,,,1872,0,1,0,0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0321,0.3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,12001.0,384.6474,0.244345,537.0192,348.6859,16.0,0.5128,8.0,0.2564,9.0,34.0,1.0897,11048.0,6954.0,222.8846,0.259686,11300.0,,,277.0,269.0,8.0,8.0,0.0,8.8782,3098.0,4325.0,80.0,3206.0,4665.0,86.0,-108.0,-340.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4869.0,7342.0,139.0,5466.0,7711.0,148.0,-597.0,-369.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,6554.0,9697.0,185.0,7731.0,10152.0,196.0,-1177.0,-455.0,-11.0,0.0,0.0,0.0,1.0,1.0,0.0,8098.0,11756.0,224.0,9673.0,13308.0,241.0,-1575.0,-1552.0,-17.0,0.0,0.0,0.0,1.0,1.0,0.0
ESPORTSTMNT05/1070423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070423?gameHash=8fefaeb4b22bba6e,UL,2019,Split 1,0,2019-01-22 16:47:03,1,9.01,4,Blue,bot,Trenie,oe:player:6cf9cf548f6c2df8323092615d532d8,Indictive Esports,oe:team:89d1736937ce3251b8fc0483c356230,Sivir,Akali,Irelia,LeBlanc,Jayce,Jax,,,,,,1872,0,0,0,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0321,0.3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20231.0,648.4295,0.411911,363.5897,224.4231,12.0,0.3846,7.0,0.2244,5.0,28.0,0.8974,11763.0,7669.0,245.8013,0.286389,11575.0,,,321.0,315.0,6.0,6.0,0.0,10.2885,3264.0,3201.0,91.0,3148.0,3264.0,88.0,116.0,-63.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5163.0,5457.0,147.0,4792.0,4976.0,134.0,371.0,481.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6878.0,7165.0,189.0,7396.0,8252.0,201.0,-518.0,-1087.0,-12.0,0.0,0.0,0.0,0.0,2.0,0.0,9157.0,9871.0,259.0,9576.0,10639.0,256.0,-419.0,-768.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
ESPORTSTMNT05/1070423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070423?gameHash=8fefaeb4b22bba6e,UL,2019,Split 1,0,2019-01-22 16:47:03,1,9.01,5,Blue,sup,SuperAZE,oe:player:7b3c8a152aead00d1ae5dfe08f64451,Indictive Esports,oe:team:89d1736937ce3251b8fc0483c356230,Thresh,Akali,Irelia,LeBlanc,Jayce,Jax,,,,,,1872,0,0,1,0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0321,0.3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3185.0,102.0833,0.0648478,240.7372,154.6154,36.0,1.1538,8.0,0.2564,9.0,60.0,1.9231,6812.0,2718.0,87.1154,0.101489,6875.0,,,11.0,11.0,0.0,0.0,0.0,0.3526,2044.0,3083.0,0.0,2240.0,2793.0,12.0,-196.0,290.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.0,4728.0,3.0,3780.0,4256.0,23.0,-518.0,472.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,4224.0,5662.0,5.0,5883.0,6442.0,37.0,-1659.0,-780.0,-32.0,0.0,0.0,0.0,1.0,1.0,0.0,5311.0,7368.0,9.0,8041.0,9017.0,53.0,-2730.0,-1649.0,-44.0,0.0,0.0,0.0,1.0,1.0,0.0
ESPORTSTMNT05/1070423,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070423?gameHash=8fefaeb4b22bba6e,UL,2019,Split 1,0,2019-01-22 16:47:03,1,9.01,6,Red,top,Unknown,oe:player:88183b946cc5f0e8c96b2e66e1c74a7,Wisła Płock eSports,oe:team:cff4c4759805907c870737415c8d4fd,Urgot,Cassiopeia,Lucian,Karthus,Ezreal,Xin Zhao,,,,,,1872,1,4,0,2,9,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2885,0.3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17580.0,563.4615,0.32555,500.4487,1019.8397,13.0,0.4167,4.0,0.1282,3.0,28.0,0.8974,13524.0,9430.0,302.2436,0.234509,12475.0,,,284.0,280.0,4.0,0.0,1.0,9.1026,3638.0,4858.0,86.0,2914.0,4031.0,70.0,724.0,827.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,6067.0,8244.0,140.0,4217.0,6577.0,103.0,1850.0,1667.0,37.0,2.0,0.0,0.0,0.0,0.0,2.0,8255.0,11057.0,185.0,5364.0,8031.0,130.0,2891.0,3026.0,55.0,3.0,1.0,0.0,0.0,0.0,4.0,10524.0,14632.0,241.0,7240.0,11129.0,180.0,3284.0,3503.0,61.0,3.0,1.0,0.0,0.0,0.0,4.0
