gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,1,Blue,top,Oscarinin,oe:player:be9758f87345bcce47970a8f17b3c07,S2V Esports Academy,oe:team:c14015eb860f145768d4368ba5c6349,Renekton,Elise,Thresh,Qiyana,Lee Sin,Jarvan IV,,,,,,1504,1,3,1,4,18,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7181,0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,10778.0,429.9734,0.240494,723.0718,481.3165,15.0,0.5984,12.0,0.4787,9.0,37.0,1.4761,10710.0,7366.0,293.8564,0.220367,10475.0,,,180.0,168.0,12.0,0.0,8.0,7.1809,3559.0,4786.0,76.0,2806.0,4367.0,69.0,753.0,419.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,6503.0,7629.0,125.0,4165.0,6450.0,103.0,2338.0,1179.0,22.0,1.0,2.0,0.0,0.0,0.0,3.0,9004.0,9632.0,164.0,6028.0,9114.0,153.0,2976.0,518.0,11.0,3.0,2.0,0.0,0.0,1.0,4.0,10702.0,11403.0,180.0,8351.0,12343.0,217.0,2351.0,-940.0,-37.0,3.0,4.0,1.0,0.0,1.0,5.0
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,2,Blue,jng,Jorx,oe:player:2d8d532cbcd9a4122f3aa4f5c231661,S2V Esports Academy,oe:team:c14015eb860f145768d4368ba5c6349,Sejuani,Elise,Thresh,Qiyana,Lee Sin,Jarvan IV,,,,,,1504,1,3,1,8,18,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7181,0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5169.0,206.2101,0.115338,893.258,731.609,9.0,0.359,8.0,0.3191,7.0,30.0,1.1968,9105.0,5761.0,229.8271,0.172352,8075.0,,,121.0,26.0,95.0,59.0,0.0,4.8271,3700.0,3416.0,55.0,3006.0,3297.0,51.0,694.0,119.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,5726.0,5822.0,85.0,4265.0,4753.0,75.0,1461.0,1069.0,10.0,3.0,2.0,0.0,0.0,1.0,2.0,7107.0,7138.0,97.0,5657.0,6823.0,99.0,1450.0,315.0,-2.0,3.0,5.0,1.0,0.0,2.0,2.0,9097.0,10201.0,121.0,6677.0,7952.0,109.0,2420.0,2249.0,12.0,3.0,8.0,1.0,0.0,3.0,3.0
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,3,Blue,mid,FeeNiixZ,oe:player:2ce40d4fbbf0ead33ca1614540f4479,S2V Esports Academy,oe:team:c14015eb860f145768d4368ba5c6349,Cassiopeia,Elise,Thresh,Qiyana,Lee Sin,Jarvan IV,,,,,,1504,1,4,1,2,18,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7181,0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9965.0,397.5399,0.222354,376.0372,191.4096,15.0,0.5984,3.0,0.1197,8.0,20.0,0.7979,10862.0,7518.0,299.9202,0.224914,9385.0,,,244.0,209.0,35.0,20.0,13.0,9.734,3141.0,4347.0,83.0,3424.0,4684.0,79.0,-283.0,-337.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,5282.0,7109.0,141.0,4960.0,6968.0,121.0,322.0,141.0,20.0,0.0,1.0,1.0,1.0,0.0,0.0,8057.0,10598.0,195.0,6278.0,8602.0,143.0,1779.0,1996.0,52.0,2.0,1.0,1.0,1.0,2.0,2.0,10853.0,14378.0,244.0,8011.0,10343.0,169.0,2842.0,4035.0,75.0,4.0,2.0,1.0,2.0,3.0,4.0
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,4,Blue,bot,Supa,oe:player:1223a0ed2bfab9b714c72d965df8133,S2V Esports Academy,oe:team:c14015eb860f145768d4368ba5c6349,Senna,Elise,Thresh,Qiyana,Lee Sin,Jarvan IV,,,,,,1504,1,8,0,3,18,5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7181,0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15383.0,613.6835,0.343248,277.7394,169.2686,9.0,0.359,7.0,0.2793,4.0,21.0,0.8378,12190.0,8846.0,352.8989,0.264642,10550.0,,,202.0,186.0,16.0,8.0,4.0,8.0585,3310.0,3149.0,87.0,2787.0,2725.0,63.0,523.0,424.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6608.0,5631.0,137.0,4336.0,4507.0,99.0,2272.0,1124.0,38.0,3.0,0.0,0.0,0.0,0.0,2.0,9000.0,8147.0,179.0,7308.0,6812.0,153.0,1692.0,1335.0,26.0,3.0,3.0,0.0,2.0,0.0,2.0,12182.0,11870.0,202.0,9522.0,9056.0,192.0,2660.0,2814.0,10.0,8.0,3.0,0.0,3.0,0.0,3.0
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,5,Blue,sup,Aesenar,oe:player:48dcc42a868c5b2493c7a4eb1131332,S2V Esports Academy,oe:team:c14015eb860f145768d4368ba5c6349,Morgana,Elise,Thresh,Qiyana,Lee Sin,Jarvan IV,,,,,,1504,1,0,2,10,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7181,0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3521.0,140.4654,0.0785657,449.641,245.984,24.0,0.9574,5.0,0.1995,8.0,48.0,1.9149,7279.0,3935.0,156.9814,0.117726,5935.0,,,10.0,10.0,0.0,0.0,0.0,0.3989,2215.0,2930.0,2.0,1932.0,2443.0,13.0,283.0,487.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,3915.0,5002.0,5.0,2808.0,3114.0,18.0,1107.0,1888.0,-13.0,0.0,4.0,0.0,0.0,0.0,0.0,5515.0,6477.0,7.0,4046.0,5131.0,29.0,1469.0,1346.0,-22.0,0.0,6.0,1.0,0.0,2.0,1.0,7270.0,8544.0,10.0,5013.0,6544.0,37.0,2257.0,2000.0,-27.0,0.0,10.0,2.0,0.0,3.0,3.0
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,6,Red,top,Rubi0o,oe:player:d63c2f58526fc93451ff8b261d35556,Vodafone Giants Academy,oe:team:eb2c3286d3f7ae58bb118bbc87bab2c,Ryze,Pantheon,Gragas,Jayce,Camille,Ornn,,,,,,1504,0,0,5,1,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1995,0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,7262.0,289.7074,0.22397,448.2048,233.4973,15.0,0.5984,1.0,0.0399,8.0,23.0,0.9176,8359.0,5015.0,200.0665,0.240007,7700.0,,,217.0,209.0,8.0,4.0,0.0,8.6569,2806.0,4367.0,69.0,3559.0,4786.0,76.0,-753.0,-419.0,-7.0,0.0,0.0,2.0,0.0,2.0,0.0,4165.0,6450.0,103.0,6503.0,7629.0,125.0,-2338.0,-1179.0,-22.0,0.0,0.0,3.0,1.0,2.0,0.0,6028.0,9114.0,153.0,9004.0,9632.0,164.0,-2976.0,-518.0,-11.0,0.0,1.0,4.0,3.0,2.0,0.0,8351.0,12343.0,217.0,10702.0,11403.0,180.0,-2351.0,940.0,37.0,0.0,1.0,5.0,3.0,4.0,1.0
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,7,Red,jng,Nyx,oe:player:778fa012f6e60cd5df26483c1573b1e,Vodafone Giants Academy,oe:team:eb2c3286d3f7ae58bb118bbc87bab2c,Ekko,Pantheon,Gragas,Jayce,Camille,Ornn,,,,,,1504,0,0,3,3,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1995,0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4887.0,194.9601,0.150722,576.3032,328.0452,18.0,0.7181,8.0,0.3191,9.0,34.0,1.3564,6685.0,3341.0,133.2846,0.159897,6275.0,,,109.0,26.0,83.0,57.0,7.0,4.3484,3006.0,3297.0,51.0,3700.0,3416.0,55.0,-694.0,-119.0,-4.0,0.0,1.0,0.0,2.0,0.0,0.0,4265.0,4753.0,75.0,5726.0,5822.0,85.0,-1461.0,-1069.0,-10.0,0.0,1.0,2.0,3.0,2.0,0.0,5657.0,6823.0,99.0,7107.0,7138.0,97.0,-1450.0,-315.0,2.0,0.0,2.0,2.0,3.0,5.0,1.0,6677.0,7952.0,109.0,9097.0,10201.0,121.0,-2420.0,-2249.0,-12.0,0.0,3.0,3.0,3.0,8.0,1.0
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,8,Red,mid,Javier,oe:player:ab02fceb9689114b1cd1844e456c069,Vodafone Giants Academy,oe:team:eb2c3286d3f7ae58bb118bbc87bab2c,Veigar,Pantheon,Gragas,Jayce,Camille,Ornn,,,,,,1504,0,2,4,3,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1995,0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6274.0,250.2926,0.193499,427.141,177.6064,9.0,0.359,5.0,0.1995,6.0,20.0,0.7979,8019.0,4675.0,186.5027,0.223736,7250.0,,,169.0,165.0,4.0,4.0,0.0,6.742,3424.0,4684.0,79.0,3141.0,4347.0,83.0,283.0,337.0,-4.0,1.0,0.0,0.0,0.0,0.0,1.0,4960.0,6968.0,121.0,5282.0,7109.0,141.0,-322.0,-141.0,-20.0,1.0,0.0,0.0,0.0,1.0,1.0,6278.0,8602.0,143.0,8057.0,10598.0,195.0,-1779.0,-1996.0,-52.0,1.0,2.0,2.0,2.0,1.0,1.0,8011.0,10343.0,169.0,10853.0,14378.0,244.0,-2842.0,-4035.0,-75.0,2.0,3.0,4.0,4.0,2.0,1.0
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,9,Red,bot,Ace,oe:player:73933848061d300bbe7293d9b38a2d4,Vodafone Giants Academy,oe:team:eb2c3286d3f7ae58bb118bbc87bab2c,Xayah,Pantheon,Gragas,Jayce,Camille,Ornn,,,,,,1504,0,3,3,0,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1995,0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10865.0,433.4441,0.335091,432.0479,187.5,9.0,0.359,2.0,0.0798,2.0,18.0,0.7181,9530.0,6186.0,246.7819,0.296046,8700.0,,,192.0,185.0,7.0,6.0,0.0,7.6596,2787.0,2725.0,63.0,3310.0,3149.0,87.0,-523.0,-424.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,4336.0,4507.0,99.0,6608.0,5631.0,137.0,-2272.0,-1124.0,-38.0,0.0,0.0,2.0,3.0,0.0,0.0,7308.0,6812.0,153.0,9000.0,8147.0,179.0,-1692.0,-1335.0,-26.0,2.0,0.0,2.0,3.0,3.0,0.0,9522.0,9056.0,192.0,12182.0,11870.0,202.0,-2660.0,-2814.0,-10.0,3.0,0.0,3.0,8.0,3.0,0.0
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,10,Red,sup,Viketox,oe:player:9179efed5ca80e55ed0ae365bf086f1,Vodafone Giants Academy,oe:team:eb2c3286d3f7ae58bb118bbc87bab2c,Leona,Pantheon,Gragas,Jayce,Camille,Ornn,,,,,,1504,0,0,3,3,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1995,0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3136.0,125.1064,0.0967185,492.0479,472.5399,35.0,1.3963,6.0,0.2394,13.0,54.0,2.1543,5022.0,1678.0,66.9415,0.0803132,4775.0,,,37.0,37.0,0.0,0.0,0.0,1.4761,1932.0,2443.0,13.0,2215.0,2930.0,2.0,-283.0,-487.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2808.0,3114.0,18.0,3915.0,5002.0,5.0,-1107.0,-1888.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,4046.0,5131.0,29.0,5515.0,6477.0,7.0,-1469.0,-1346.0,22.0,0.0,2.0,1.0,0.0,6.0,1.0,5013.0,6544.0,37.0,7270.0,8544.0,10.0,-2257.0,-2000.0,27.0,0.0,3.0,3.0,0.0,10.0,2.0
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,100,Blue,team,,,S2V Esports Academy,oe:team:c14015eb860f145768d4368ba5c6349,,Elise,Thresh,Qiyana,Lee Sin,Jarvan IV,Senna,Cassiopeia,Morgana,Sejuani,Renekton,1504,1,18,5,27,18,5,5.0,1.0,0.0,0.0,1.0,,,,0.7181,0.9176,1.0,4.0,0.0,,,1.0,0.0,0.0,3.0,,,,0.0,0.0,1.0,1.0,0.0,,,1.0,1.0,0.0,1.0,9.0,2.0,1.0,1.0,,,2.0,0.0,44816.0,1787.8723,,2719.7473,1819.5878,72.0,2.8723,35.0,1.3963,36.0,156.0,6.2234,50146.0,33427.0,1333.5239,,44420.0,0.245703,5.18,,599.0,158.0,87.0,25.0,30.1995,15925.0,18628.0,303.0,13955.0,17516.0,275.0,1970.0,1112.0,28.0,2.0,2.0,1.0,1.0,1.0,2.0,28034.0,31193.0,493.0,20534.0,25792.0,416.0,7500.0,5401.0,77.0,7.0,9.0,1.0,1.0,1.0,7.0,38683.0,41992.0,642.0,29317.0,36482.0,577.0,9366.0,5510.0,65.0,11.0,17.0,3.0,3.0,7.0,11.0,50104.0,56396.0,757.0,37574.0,46238.0,724.0,12530.0,10158.0,33.0,18.0,27.0,5.0,5.0,10.0,18.0
ESPORTSTMNT01/1212450,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212450?gameHash=cc1d0c2978799c6f,CT,2019,,1,2019-11-29 10:01:19,1,9.22,200,Red,team,,,Vodafone Giants Academy,oe:team:eb2c3286d3f7ae58bb118bbc87bab2c,,Pantheon,Gragas,Jayce,Camille,Ornn,Xayah,Ryze,Leona,Ekko,Veigar,1504,0,5,18,10,5,18,0.0,0.0,0.0,0.0,0.0,,,,0.1995,0.9176,0.0,0.0,4.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,,,0.0,2.0,32424.0,1293.5106,,2375.7447,1399.1888,86.0,3.4309,22.0,0.8777,38.0,149.0,5.9441,37615.0,20896.0,833.617,,34700.0,-0.245703,-5.18,,622.0,102.0,71.0,7.0,28.883,13955.0,17516.0,275.0,15925.0,18628.0,303.0,-1970.0,-1112.0,-28.0,1.0,1.0,2.0,2.0,2.0,1.0,20534.0,25792.0,416.0,28034.0,31193.0,493.0,-7500.0,-5401.0,-77.0,1.0,1.0,7.0,7.0,9.0,1.0,29317.0,36482.0,577.0,38683.0,41992.0,642.0,-9366.0,-5510.0,-65.0,3.0,7.0,11.0,11.0,17.0,3.0,37574.0,46238.0,724.0,50104.0,56396.0,757.0,-12530.0,-10158.0,-33.0,5.0,10.0,18.0,18.0,27.0,5.0
ESPORTSTMNT01/1212452,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212452?gameHash=90410040b3759fac,CT,2019,,1,2019-11-29 10:57:33,2,9.22,1,Blue,top,Rubi0o,oe:player:d63c2f58526fc93451ff8b261d35556,Vodafone Giants Academy,oe:team:eb2c3286d3f7ae58bb118bbc87bab2c,Cho'Gath,Pantheon,Morgana,Jayce,Renekton,Camille,,,,,,1801,1,1,1,6,13,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4331,0.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9384.0,312.6263,0.176507,591.6713,695.7468,14.0,0.4664,4.0,0.1333,5.0,30.0,0.9994,10830.0,6880.0,229.206,0.199068,9645.0,,,237.0,234.0,3.0,2.0,0.0,7.8956,3453.0,4516.0,78.0,3276.0,3994.0,54.0,177.0,522.0,24.0,0.0,1.0,1.0,2.0,0.0,1.0,4882.0,6923.0,116.0,4973.0,6708.0,104.0,-91.0,215.0,12.0,0.0,1.0,1.0,2.0,0.0,1.0,6670.0,9775.0,161.0,7290.0,9273.0,157.0,-620.0,502.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,8715.0,12555.0,208.0,10956.0,13306.0,211.0,-2241.0,-751.0,-3.0,1.0,1.0,1.0,3.0,0.0,1.0
ESPORTSTMNT01/1212452,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212452?gameHash=90410040b3759fac,CT,2019,,1,2019-11-29 10:57:33,2,9.22,2,Blue,jng,Nyx,oe:player:778fa012f6e60cd5df26483c1573b1e,Vodafone Giants Academy,oe:team:eb2c3286d3f7ae58bb118bbc87bab2c,Poppy,Pantheon,Morgana,Jayce,Renekton,Camille,,,,,,1801,1,1,2,5,13,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4331,0.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4118.0,137.1904,0.077457,475.3692,643.7424,36.0,1.1993,12.0,0.3998,16.0,66.0,2.1988,8875.0,4925.0,164.0755,0.142505,8400.0,,,126.0,26.0,100.0,79.0,4.0,4.1977,2740.0,2755.0,37.0,3208.0,3308.0,66.0,-468.0,-553.0,-29.0,0.0,1.0,1.0,0.0,0.0,0.0,4604.0,4931.0,69.0,4813.0,5157.0,101.0,-209.0,-226.0,-32.0,1.0,1.0,1.0,0.0,0.0,0.0,5972.0,6648.0,88.0,6035.0,6750.0,123.0,-63.0,-102.0,-35.0,1.0,1.0,1.0,0.0,0.0,0.0,7173.0,8811.0,98.0,8078.0,9689.0,143.0,-905.0,-878.0,-45.0,1.0,4.0,2.0,0.0,4.0,2.0
ESPORTSTMNT01/1212452,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212452?gameHash=90410040b3759fac,CT,2019,,1,2019-11-29 10:57:33,2,9.22,3,Blue,mid,Javier,oe:player:ab02fceb9689114b1cd1844e456c069,Vodafone Giants Academy,oe:team:eb2c3286d3f7ae58bb118bbc87bab2c,Syndra,Pantheon,Morgana,Jayce,Renekton,Camille,,,,,,1801,1,2,1,9,13,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4331,0.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,15877.0,528.9395,0.298636,231.7712,104.7418,18.0,0.5997,5.0,0.1666,12.0,32.0,1.0661,12932.0,8982.0,299.2338,0.259885,12425.0,,,283.0,259.0,24.0,16.0,0.0,9.4281,3687.0,4725.0,92.0,3481.0,4799.0,88.0,206.0,-74.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,5944.0,7843.0,157.0,4935.0,7329.0,131.0,1009.0,514.0,26.0,1.0,0.0,0.0,0.0,1.0,1.0,7947.0,10156.0,203.0,6773.0,10128.0,182.0,1174.0,28.0,21.0,1.0,0.0,0.0,0.0,1.0,1.0,10256.0,12259.0,236.0,9910.0,13264.0,218.0,346.0,-1005.0,18.0,2.0,4.0,1.0,2.0,3.0,1.0
ESPORTSTMNT01/1212452,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212452?gameHash=90410040b3759fac,CT,2019,,1,2019-11-29 10:57:33,2,9.22,4,Blue,bot,Ace,oe:player:73933848061d300bbe7293d9b38a2d4,Vodafone Giants Academy,oe:team:eb2c3286d3f7ae58bb118bbc87bab2c,Sivir,Pantheon,Morgana,Jayce,Renekton,Camille,,,,,,1801,1,9,2,2,13,6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4331,0.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20745.0,691.116,0.3902,350.9384,261.8545,11.0,0.3665,2.0,0.0666,2.0,25.0,0.8329,14641.0,10691.0,356.1688,0.309331,13300.0,,,244.0,222.0,22.0,18.0,0.0,8.1288,3097.0,3011.0,78.0,3261.0,3347.0,87.0,-164.0,-336.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5455.0,5142.0,122.0,5060.0,5591.0,141.0,395.0,-449.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,7875.0,7888.0,182.0,7125.0,7989.0,202.0,750.0,-101.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,10404.0,10080.0,210.0,10007.0,10985.0,245.0,397.0,-905.0,-35.0,3.0,2.0,2.0,1.0,2.0,1.0
ESPORTSTMNT01/1212452,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212452?gameHash=90410040b3759fac,CT,2019,,1,2019-11-29 10:57:33,2,9.22,5,Blue,sup,Viketox,oe:player:9179efed5ca80e55ed0ae365bf086f1,Vodafone Giants Academy,oe:team:eb2c3286d3f7ae58bb118bbc87bab2c,Rakan,Pantheon,Morgana,Jayce,Renekton,Camille,,,,,,1801,1,0,0,8,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4331,0.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3041.0,101.3104,0.0571993,148.6841,293.3703,37.0,1.2326,13.0,0.4331,8.0,76.0,2.5319,7033.0,3083.0,102.7096,0.0892104,6200.0,,,16.0,16.0,0.0,0.0,0.0,0.533,2118.0,2907.0,3.0,2140.0,2842.0,2.0,-22.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3130.0,3874.0,5.0,3149.0,3732.0,3.0,-19.0,142.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4032.0,4189.0,6.0,4243.0,5285.0,9.0,-211.0,-1096.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,5303.0,6275.0,13.0,5891.0,7327.0,12.0,-588.0,-1052.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0
ESPORTSTMNT01/1212452,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1212452?gameHash=90410040b3759fac,CT,2019,,1,2019-11-29 10:57:33,2,9.22,6,Red,top,Oscarinin,oe:player:be9758f87345bcce47970a8f17b3c07,S2V Esports Academy,oe:team:c14015eb860f145768d4368ba5c6349,Fiora,Gragas,Xayah,Senna,Varus,Caitlyn,,,,,,1801,0,3,3,0,6,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1999,0.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11981.0,399.1449,0.339694,849.2948,846.0966,17.0,0.5664,5.0,0.1666,8.0,36.0,1.1993,12897.0,8947.0,298.0677,0.274191,13133.0,,,241.0,220.0,21.0,11.0,4.0,8.0289,3276.0,3994.0,54.0,3453.0,4516.0,78.0,-177.0,-522.0,-24.0,2.0,0.0,1.0,0.0,1.0,1.0,4973.0,6708.0,104.0,4882.0,6923.0,116.0,91.0,-215.0,-12.0,2.0,0.0,1.0,0.0,1.0,1.0,7290.0,9273.0,157.0,6670.0,9775.0,161.0,620.0,-502.0,-4.0,2.0,0.0,1.0,0.0,1.0,1.0,10956.0,13306.0,211.0,8715.0,12555.0,208.0,2241.0,751.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0
